id_ENSEMBL;gene_recommended_name;tax_id
ENSG00000121410;A1BG;9606
ENSG00000175899;A2M;9606
ENSG00000256069;A2MP1;9606
ENSG00000171428;NAT1;9606
ENSG00000156006;NAT2;9606
ENSG00000196136;SERPINA3;9606
ENSG00000114771;AADAC;9606
ENSG00000127837;AAMP;9606
ENSG00000129673;AANAT;9606
ENSG00000090861;AARS;9606
ENSG00000183044;ABAT;9606
ENSG00000165029;ABCA1;9606
ENSG00000107331;ABCA2;9606
ENSG00000167972;ABCA3;9606
ENSG00000131269;ABCB7;9606
ENSG00000204574;ABCF1;9606
ENSG00000198691;ABCA4;9606
ENSG00000097007;ABL1;9606
ENSG00000002726;AOC1;9606
ENSG00000143322;ABL2;9606
ENSG00000175164;ABO;9606
ENSG00000159842;ABR;9606
ENSG00000060971;ACAA1;9606
ENSG00000278540;ACACA;9606
ENSG00000076555;ACACB;9606
ENSG00000115361;ACADL;9606
ENSG00000117054;ACADM;9606
ENSG00000122971;ACADS;9606
ENSG00000196177;ACADSB;9606
ENSG00000072778;ACADVL;9606
ENSG00000075239;ACAT1;9606
ENSG00000120437;ACAT2;9606
ENSG00000108684;ASIC2;9606
ENSG00000110881;ASIC1;9606
ENSG00000087085;ACHE;9606
ENSG00000131473;ACLY;9606
ENSG00000122729;ACO1;9606
ENSG00000100312;ACR;9606
ENSG00000100412;ACO2;9606
ENSG00000161533;ACOX1;9606
ENSG00000143727;ACP1;9606
ENSG00000134575;ACP2;9606
ENSG00000102575;ACP5;9606
ENSG00000014257;ACPP;9606
ENSG00000134940;ACRV1;9606
ENSG00000143632;ACTA1;9606
ENSG00000107796;ACTA2;9606
ENSG00000075624;ACTB;9606
ENSG00000159251;ACTC1;9606
ENSG00000184009;ACTG1;9606
ENSG00000163017;ACTG2;9606
ENSG00000130402;ACTN4;9606
ENSG00000136518;ACTL6A;9606
ENSG00000072110;ACTN1;9606
ENSG00000077522;ACTN2;9606
ENSG00000248746;ACTN3;9606
ENSG00000115170;ACVR1;9606
ENSG00000135503;ACVR1B;9606
ENSG00000121989;ACVR2A;9606
ENSG00000114739;ACVR2B;9606
ENSG00000139567;ACVRL1;9606
ENSG00000243989;ACY1;9606
ENSG00000119640;ACYP1;9606
ENSG00000170634;ACYP2;9606
ENSG00000196839;ADA;9606
ENSG00000151651;ADAM8;9606
ENSG00000137845;ADAM10;9606
ENSG00000160710;ADAR;9606
ENSG00000197381;ADARB1;9606
ENSG00000185736;ADARB2;9606
ENSG00000164742;ADCY1;9606
ENSG00000078295;ADCY2;9606
ENSG00000138031;ADCY3;9606
ENSG00000173175;ADCY5;9606
ENSG00000174233;ADCY6;9606
ENSG00000121281;ADCY7;9606
ENSG00000155897;ADCY8;9606
ENSG00000162104;ADCY9;9606
ENSG00000141433;ADCYAP1;9606
ENSG00000078549;ADCYAP1R1;9606
ENSG00000087274;ADD1;9606
ENSG00000075340;ADD2;9606
ENSG00000148700;ADD3;9606
ENSG00000147872;PLIN2;9606
ENSG00000187758;ADH1A;9606
ENSG00000196616;ADH1B;9606
ENSG00000248144;ADH1C;9606
ENSG00000198099;ADH4;9606
ENSG00000197894;ADH5;9606
ENSG00000172955;ADH6;9606
ENSG00000196344;ADH7;9606
ENSG00000156110;ADK;9606
ENSG00000148926;ADM;9606
ENSG00000163485;ADORA1;9606
ENSG00000128271;ADORA2A;9606
ENSG00000170425;ADORA2B;9606
ENSG00000282608;ADORA3;9606
ENSG00000144843;ADPRH;9606
ENSG00000143799;PARP1;9606
ENSG00000102699;PARP4;9606
ENSG00000171873;ADRA1D;9606
ENSG00000170214;ADRA1B;9606
ENSG00000120907;ADRA1A;9606
ENSG00000150594;ADRA2A;9606
ENSG00000274286;ADRA2B;9606
ENSG00000184160;ADRA2C;9606
ENSG00000043591;ADRB1;9606
ENSG00000169252;ADRB2;9606
ENSG00000188778;ADRB3;9606
ENSG00000173020;GRK2;9606
ENSG00000100077;GRK3;9606
ENSG00000239900;ADSL;9606
ENSG00000035687;ADSS;9606
ENSG00000196961;AP2A1;9606
ENSG00000183020;AP2A2;9606
ENSG00000100280;AP1B1;9606
ENSG00000006125;AP2B1;9606
ENSG00000166747;AP1G1;9606
ENSG00000106624;AEBP1;9606
ENSG00000104964;AES;9606
ENSG00000124812;CRISP1;9606
ENSG00000223959;AFG3L1P;9606
ENSG00000079557;AFM;9606
ENSG00000081051;AFP;9606
ENSG00000038002;AGA;9606
ENSG00000157766;ACAN;9606
ENSG00000204305;AGER;9606
ENSG00000162688;AGL;9606
ENSG00000159723;AGRP;9606
ENSG00000101384;JAG1;9606
ENSG00000135744;AGT;9606
ENSG00000144891;AGTR1;9606
ENSG00000180772;AGTR2;9606
ENSG00000134817;APLNR;9606
ENSG00000172482;AGXT;9606
ENSG00000169297;NR0B1;9606
ENSG00000101444;AHCY;9606
ENSG00000106546;AHR;9606
ENSG00000145192;AHSG;9606
ENSG00000204472;AIF1;9606
ENSG00000112297;CRYBG1;9606
ENSG00000106992;AK1;9606
ENSG00000004455;AK2;9606
ENSG00000162433;AK4;9606
ENSG00000142208;AKT1;9606
ENSG00000105221;AKT2;9606
ENSG00000148218;ALAD;9606
ENSG00000023330;ALAS1;9606
ENSG00000158578;ALAS2;9606
ENSG00000163631;ALB;9606
ENSG00000170017;ALCAM;9606
ENSG00000101986;ABCD1;9606
ENSG00000165092;ALDH1A1;9606
ENSG00000111275;ALDH2;9606
ENSG00000108602;ALDH3A1;9606
ENSG00000137124;ALDH1B1;9606
ENSG00000184254;ALDH1A3;9606
ENSG00000006534;ALDH3B1;9606
ENSG00000132746;ALDH3B2;9606
ENSG00000143149;ALDH9A1;9606
ENSG00000072210;ALDH3A2;9606
ENSG00000173208;ABCD2;9606
ENSG00000149925;ALDOA;9606
ENSG00000136872;ALDOB;9606
ENSG00000109107;ALDOC;9606
ENSG00000085662;AKR1B1;9606
ENSG00000171094;ALK;9606
ENSG00000108839;ALOX12;9606
ENSG00000012779;ALOX5;9606
ENSG00000132965;ALOX5AP;9606
ENSG00000179477;ALOX12B;9606
ENSG00000262943;ALOX12P2;9606
ENSG00000161905;ALOX15;9606
ENSG00000179593;ALOX15B;9606
ENSG00000163295;ALPI;9606
ENSG00000162551;ALPL;9606
ENSG00000163283;ALPP;9606
ENSG00000163286;ALPPL2;9606
ENSG00000156150;ALX3;9606
ENSG00000178522;AMBN;9606
ENSG00000106927;AMBP;9606
ENSG00000123505;AMD1;9606
ENSG00000125363;AMELX;9606
ENSG00000099721;AMELY;9606
ENSG00000159461;AMFR;9606
ENSG00000104899;AMH;9606
ENSG00000135409;AMHR2;9606
ENSG00000116748;AMPD1;9606
ENSG00000116337;AMPD2;9606
ENSG00000133805;AMPD3;9606
ENSG00000078053;AMPH;9606
ENSG00000136717;BIN1;9606
ENSG00000145020;AMT;9606
ENSG00000237763;AMY1A;9606
ENSG00000174876;AMY1B;9606
ENSG00000187733;AMY1C;9606
ENSG00000243480;AMY2A;9606
ENSG00000240038;AMY2B;9606
ENSG00000214274;ANG;9606
ENSG00000154188;ANGPT1;9606
ENSG00000091879;ANGPT2;9606
ENSG00000029534;ANK1;9606
ENSG00000145362;ANK2;9606
ENSG00000151150;ANK3;9606
ENSG00000166825;ANPEP;9606
ENSG00000151729;SLC25A4;9606
ENSG00000005022;SLC25A5;9606
ENSG00000169100;SLC25A6;9606
ENSG00000135046;ANXA1;9606
ENSG00000182718;ANXA2;9606
ENSG00000138772;ANXA3;9606
ENSG00000196975;ANXA4;9606
ENSG00000164111;ANXA5;9606
ENSG00000197043;ANXA6;9606
ENSG00000138279;ANXA7;9606
ENSG00000122359;ANXA11;9606
ENSG00000104537;ANXA13;9606
ENSG00000136250;AOAH;9606
ENSG00000131480;AOC2;9606
ENSG00000138356;AOX1;9606
ENSG00000120868;APAF1;9606
ENSG00000164978;NUDT2;9606
ENSG00000175336;APOF;9606
ENSG00000107282;APBA1;9606
ENSG00000034053;APBA2;9606
ENSG00000166313;APBB1;9606
ENSG00000163697;APBB2;9606
ENSG00000134982;APC;9606
ENSG00000132703;APCS;9606
ENSG00000160224;AIRE;9606
ENSG00000164062;APEH;9606
ENSG00000100823;APEX1;9606
ENSG00000110330;BIRC2;9606
ENSG00000023445;BIRC3;9606
ENSG00000101966;XIAP;9606
ENSG00000089685;BIRC5;9606
ENSG00000105290;APLP1;9606
ENSG00000084234;APLP2;9606
ENSG00000118137;APOA1;9606
ENSG00000158874;APOA2;9606
ENSG00000110244;APOA4;9606
ENSG00000084674;APOB;9606
ENSG00000111701;APOBEC1;9606
ENSG00000130208;APOC1;9606
ENSG00000214855;APOC1P1;9606
ENSG00000103375;AQP8;9606
ENSG00000234906;APOC2;9606
ENSG00000110245;APOC3;9606
ENSG00000267467;APOC4;9606
ENSG00000189058;APOD;9606
ENSG00000130203;APOE;9606
ENSG00000091583;APOH;9606
ENSG00000142192;APP;9606
ENSG00000198931;APRT;9606
ENSG00000142515;KLK3;9606
ENSG00000026103;FAS;9606
ENSG00000117560;FASLG;9606
ENSG00000146950;SHROOM2;9606
ENSG00000240583;AQP1;9606
ENSG00000167580;AQP2;9606
ENSG00000165272;AQP3;9606
ENSG00000171885;AQP4;9606
ENSG00000161798;AQP5;9606
ENSG00000086159;AQP6;9606
ENSG00000165269;AQP7;9606
ENSG00000103569;AQP9;9606
ENSG00000169083;AR;9606
ENSG00000091262;ABCC6;9606
ENSG00000078061;ARAF;9606
ENSG00000095139;ARCN1;9606
ENSG00000113595;TRIM23;9606
ENSG00000109321;AREG;9606
ENSG00000143761;ARF1;9606
ENSG00000134287;ARF3;9606
ENSG00000168374;ARF4;9606
ENSG00000175906;ARL4D;9606
ENSG00000004059;ARF5;9606
ENSG00000165527;ARF6;9606
ENSG00000118520;ARG1;9606
ENSG00000081181;ARG2;9606
ENSG00000067560;RHOA;9606
ENSG00000143878;RHOB;9606
ENSG00000155366;RHOC;9606
ENSG00000115963;RND3;9606
ENSG00000177105;RHOG;9606
ENSG00000175220;ARHGAP1;9606
ENSG00000089820;ARHGAP4;9606
ENSG00000100852;ARHGAP5;9606
ENSG00000047648;ARHGAP6;9606
ENSG00000141522;ARHGDIA;9606
ENSG00000111348;ARHGDIB;9606
ENSG00000242173;ARHGDIG;9606
ENSG00000168421;RHOH;9606
ENSG00000120805;ARL1;9606
ENSG00000165462;PHOX2A;9606
ENSG00000213465;ARL2;9606
ENSG00000138175;ARL3;9606
ENSG00000143437;ARNT;9606
ENSG00000133794;ARNTL;9606
ENSG00000120500;ARR3;9606
ENSG00000137486;ARRB1;9606
ENSG00000141480;ARRB2;9606
ENSG00000100299;ARSA;9606
ENSG00000113273;ARSB;9606
ENSG00000101846;STS;9606
ENSG00000006756;ARSD;9606
ENSG00000157399;ARSE;9606
ENSG00000062096;ARSF;9606
ENSG00000129744;ART1;9606
ENSG00000156219;ART3;9606
ENSG00000111339;ART4;9606
ENSG00000099889;ARVCF;9606
ENSG00000104763;ASAH1;9606
ENSG00000139352;ASCL1;9606
ENSG00000183734;ASCL2;9606
ENSG00000141505;ASGR1;9606
ENSG00000161944;ASGR2;9606
ENSG00000101440;ASIP;9606
ENSG00000126522;ASL;9606
ENSG00000196433;ASMT;9606
ENSG00000198356;ASNA1;9606
ENSG00000070669;ASNS;9606
ENSG00000108381;ASPA;9606
ENSG00000198363;ASPH;9606
ENSG00000130707;ASS1;9606
ENSG00000152092;ASTN1;9606
ENSG00000117601;SERPINC1;9606
ENSG00000140836;ZFHX3;9606
ENSG00000123268;ATF1;9606
ENSG00000162772;ATF3;9606
ENSG00000128272;ATF4;9606
ENSG00000138363;ATIC;9606
ENSG00000149311;ATM;9606
ENSG00000142599;RERE;9606
ENSG00000172238;ATOH1;9606
ENSG00000177556;ATOX1;9606
ENSG00000163399;ATP1A1;9606
ENSG00000018625;ATP1A2;9606
ENSG00000105409;ATP1A3;9606
ENSG00000075673;ATP12A;9606
ENSG00000132681;ATP1A4;9606
ENSG00000143153;ATP1B1;9606
ENSG00000129244;ATP1B2;9606
ENSG00000069849;ATP1B3;9606
ENSG00000137731;FXYD2;9606
ENSG00000196296;ATP2A1;9606
ENSG00000174437;ATP2A2;9606
ENSG00000074370;ATP2A3;9606
ENSG00000070961;ATP2B1;9606
ENSG00000157087;ATP2B2;9606
ENSG00000067842;ATP2B3;9606
ENSG00000058668;ATP2B4;9606
ENSG00000105675;ATP4A;9606
ENSG00000186009;ATP4B;9606
ENSG00000152234;ATP5F1A;9606
ENSG00000164904;ALDH7A1;9606
ENSG00000110955;ATP5F1B;9606
ENSG00000165629;ATP5F1C;9606
ENSG00000099624;ATP5F1D;9606
ENSG00000124172;ATP5F1E;9606
ENSG00000116459;ATP5PB;9606
ENSG00000159199;ATP5MC1;9606
ENSG00000135390;ATP5MC2;9606
ENSG00000154518;ATP5MC3;9606
ENSG00000169020;ATP5ME;9606
ENSG00000154723;ATP5PF;9606
ENSG00000114573;ATP6V1A;9606
ENSG00000116039;ATP6V1B1;9606
ENSG00000147416;ATP6V1B2;9606
ENSG00000185883;ATP6V0C;9606
ENSG00000155097;ATP6V1C1;9606
ENSG00000131100;ATP6V1E1;9606
ENSG00000117410;ATP6V0B;9606
ENSG00000213760;ATP6V1G2;9606
ENSG00000033627;ATP6V0A1;9606
ENSG00000071553;ATP6AP1;9606
ENSG00000165240;ATP7A;9606
ENSG00000241837;ATP5PO;9606
ENSG00000123191;ATP7B;9606
ENSG00000175054;ATR;9606
ENSG00000085224;ATRX;9606
ENSG00000130294;KIF1A;9606
ENSG00000148090;AUH;9606
ENSG00000115307;AUP1;9606
ENSG00000101200;AVP;9606
ENSG00000166148;AVPR1A;9606
ENSG00000198049;AVPR1B;9606
ENSG00000126895;AVPR2;9606
ENSG00000167601;AXL;9606
ENSG00000160862;AZGP1;9606
ENSG00000172232;AZU1;9606
ENSG00000166710;B2M;9606
ENSG00000136881;BAAT;9606
ENSG00000156273;GRIK1-AS2;9606
ENSG00000002330;BAD;9606
ENSG00000107262;BAG1;9606
ENSG00000181790;ADGRB1;9606
ENSG00000121753;ADGRB2;9606
ENSG00000135298;ADGRB3;9606
ENSG00000030110;BAK1;9606
ENSG00000109705;NKX3-2;9606
ENSG00000138376;BARD1;9606
ENSG00000087088;BAX;9606
ENSG00000174483;BBS1;9606
ENSG00000125124;BBS2;9606
ENSG00000140463;BBS4;9606
ENSG00000060982;BCAT1;9606
ENSG00000105552;BCAT2;9606
ENSG00000114200;BCHE;9606
ENSG00000248098;BCKDHA;9606
ENSG00000083123;BCKDHB;9606
ENSG00000110092;CCND1;9606
ENSG00000171791;BCL2;9606
ENSG00000140379;BCL2A1;9606
ENSG00000171552;BCL2L1;9606
ENSG00000129473;BCL2L2;9606
ENSG00000069399;BCL3;9606
ENSG00000113916;BCL6;9606
ENSG00000110987;BCL7A;9606
ENSG00000116128;BCL9;9606
ENSG00000048462;TNFRSF17;9606
ENSG00000099822;HCN2;9606
ENSG00000128617;OPN1SW;9606
ENSG00000186716;BCR;9606
ENSG00000074582;BCS1L;9606
ENSG00000236824;BCYRN1;9606
ENSG00000161267;BDH1;9606
ENSG00000100739;BDKRB1;9606
ENSG00000168398;BDKRB2;9606
ENSG00000176697;BDNF;9606
ENSG00000243649;CFB;9606
ENSG00000125864;BFSP1;9606
ENSG00000242252;BGLAP;9606
ENSG00000182492;BGN;9606
ENSG00000079385;CEACAM1;9606
ENSG00000145692;BHMT;9606
ENSG00000151746;BICD1;9606
ENSG00000015475;BID;9606
ENSG00000100290;BIK;9606
ENSG00000057657;PRDM1;9606
ENSG00000136573;BLK;9606
ENSG00000197299;BLM;9606
ENSG00000108578;BLMH;9606
ENSG00000160683;CXCR5;9606
ENSG00000106605;BLVRA;9606
ENSG00000090013;BLVRB;9606
ENSG00000169594;BNC1;9606
ENSG00000168283;BMI1;9606
ENSG00000168487;BMP1;9606
ENSG00000125845;BMP2;9606
ENSG00000152785;BMP3;9606
ENSG00000125378;BMP4;9606
ENSG00000112175;BMP5;9606
ENSG00000153162;BMP6;9606
ENSG00000101144;BMP7;9606
ENSG00000116985;BMP8B;9606
ENSG00000107779;BMPR1A;9606
ENSG00000138696;BMPR1B;9606
ENSG00000204217;BMPR2;9606
ENSG00000102010;BMX;9606
ENSG00000168495;POLR3D;9606
ENSG00000113734;BNIP1;9606
ENSG00000140299;BNIP2;9606
ENSG00000176171;BNIP3;9606
ENSG00000104765;BNIP3L;9606
ENSG00000176720;BOK;9606
ENSG00000151914;DST;9606
ENSG00000183770;FOXL2;9606
ENSG00000172331;BPGM;9606
ENSG00000137274;BPHL;9606
ENSG00000101425;LOC149684;9606
ENSG00000012048;BRCA1;9606
ENSG00000157764;BRAF;9606
ENSG00000139618;BRCA2;9606
ENSG00000137948;BRDT;9606
ENSG00000185650;ZFP36L1;9606
ENSG00000152518;ZFP36L2;9606
ENSG00000102239;BRS3;9606
ENSG00000172270;BSG;9606
ENSG00000109743;BST1;9606
ENSG00000130303;BST2;9606
ENSG00000174808;BTC;9606
ENSG00000169814;BTD;9606
ENSG00000119138;KLF9;9606
ENSG00000102554;KLF5;9606
ENSG00000145741;BTF3;9606
ENSG00000133639;BTG1;9606
ENSG00000010671;BTK;9606
ENSG00000124557;BTN1A1;9606
ENSG00000169679;BUB1;9606
ENSG00000156970;BUB1B;9606
ENSG00000112578;BYSL;9606
ENSG00000100300;TSPO;9606
ENSG00000108561;C1QBP;9606
ENSG00000149131;SERPING1;9606
ENSG00000281708;ERC2-IT1;9606
ENSG00000173372;C1QA;9606
ENSG00000173369;C1QB;9606
ENSG00000159189;C1QC;9606
ENSG00000159403;C1R;9606
ENSG00000182326;C1S;9606
ENSG00000166278;C2;9606
ENSG00000125730;C3;9606
ENSG00000171860;C3AR1;9606
ENSG00000244731;C4A;9606
ENSG00000224389;C4B;9606
ENSG00000123838;C4BPA;9606
ENSG00000123843;C4BPB;9606
ENSG00000149260;CAPN5;9606
ENSG00000106804;C5;9606
ENSG00000197405;C5AR1;9606
ENSG00000039537;C6;9606
ENSG00000112936;C7;9606
ENSG00000157131;C8A;9606
ENSG00000021852;C8B;9606
ENSG00000176919;C8G;9606
ENSG00000164823;OSGIN2;9606
ENSG00000113600;C9;9606
ENSG00000149823;VPS51;9606
ENSG00000149792;MRPL49;9606
ENSG00000174276;ZNHIT2;9606
ENSG00000066382;MPPED2;9606
ENSG00000124920;MYRF;9606
ENSG00000134825;TMEM258;9606
ENSG00000134780;DAGLA;9606
ENSG00000184922;FMNL1;9606
ENSG00000168675;LDLRAD4;9606
ENSG00000183255;PTTG1IP;9606
ENSG00000160226;C21orf2;9606
ENSG00000142188;TMEM50B;9606
ENSG00000186732;MPPED1;9606
ENSG00000133742;CA1;9606
ENSG00000104267;CA2;9606
ENSG00000164879;CA3;9606
ENSG00000167434;CA4;9606
ENSG00000174990;CA5A;9606
ENSG00000131686;CA6;9606
ENSG00000168748;CA7;9606
ENSG00000178538;CA8;9606
ENSG00000107159;CA9;9606
ENSG00000063180;CA11;9606
ENSG00000074410;CA12;9606
ENSG00000141837;CACNA1A;9606
ENSG00000148408;CACNA1B;9606
ENSG00000151067;CACNA1C;9606
ENSG00000157388;CACNA1D;9606
ENSG00000198216;CACNA1E;9606
ENSG00000102001;CACNA1F;9606
ENSG00000081248;CACNA1S;9606
ENSG00000204580;DDR1;9606
ENSG00000153956;CACNA2D1;9606
ENSG00000067191;CACNB1;9606
ENSG00000165995;CACNB2;9606
ENSG00000167535;CACNB3;9606
ENSG00000182389;CACNB4;9606
ENSG00000108878;CACNG1;9606
ENSG00000178537;SLC25A20;9606
ENSG00000084774;CAD;9606
ENSG00000104327;CALB1;9606
ENSG00000172137;CALB2;9606
ENSG00000169906;S100G;9606
ENSG00000110680;CALCA;9606
ENSG00000175868;CALCB;9606
ENSG00000004948;CALCR;9606
ENSG00000122786;CALD1;9606
ENSG00000198668;CALM1;9606
ENSG00000143933;CALM2;9606
ENSG00000160014;CALM3;9606
ENSG00000178363;CALML3;9606
ENSG00000179218;CALR;9606
ENSG00000128595;CALU;9606
ENSG00000152495;CAMK4;9606
ENSG00000070808;CAMK2A;9606
ENSG00000058404;CAMK2B;9606
ENSG00000145349;CAMK2D;9606
ENSG00000148660;CAMK2G;9606
ENSG00000164615;CAMLG;9606
ENSG00000164047;CAMP;9606
ENSG00000127022;CANX;9606
ENSG00000042493;CAPG;9606
ENSG00000014216;CAPN1;9606
ENSG00000162909;CAPN2;9606
ENSG00000092529;CAPN3;9606
ENSG00000126247;CAPNS1;9606
ENSG00000077274;CAPN6;9606
ENSG00000105519;CAPS;9606
ENSG00000116489;CAPZA1;9606
ENSG00000198898;CAPZA2;9606
ENSG00000153113;CAST;9606
ENSG00000077549;CAPZB;9606
ENSG00000110619;CARS;9606
ENSG00000137752;CASP1;9606
ENSG00000106144;CASP2;9606
ENSG00000164305;CASP3;9606
ENSG00000196954;CASP4;9606
ENSG00000137757;CASP5;9606
ENSG00000138794;CASP6;9606
ENSG00000165806;CASP7;9606
ENSG00000064012;CASP8;9606
ENSG00000132906;CASP9;9606
ENSG00000003400;CASP10;9606
ENSG00000143318;CASQ1;9606
ENSG00000118729;CASQ2;9606
ENSG00000036828;CASR;9606
ENSG00000121691;CAT;9606
ENSG00000105974;CAV1;9606
ENSG00000105971;CAV2;9606
ENSG00000182533;CAV3;9606
ENSG00000124813;RUNX2;9606
ENSG00000159216;LOC100506403;9606
