id_GO	type	name
--	-	-
0005525F	F	GTP binding
0016021C	C	integral component of membrane
0007275P	P	multicellular organism development
0005938C	C	cell cortex
0005737C	C	cytoplasm
0005634C	C	nucleus
0019904F	F	protein domain specific binding
0045167P	P	asymmetric protein localization involved in cell fate determination
0001708P	P	cell fate specification
0008340P	P	determination of adult lifespan
0009792P	P	embryo development ending in birth or egg hatching
0000132P	P	establishment of mitotic spindle orientation
0030590P	P	first cell cycle pseudocleavage
0010286P	P	heat acclimation
0051321P	P	meiotic cell cycle
0009949P	P	polarity specification of anterior/posterior axis
0035046P	P	pronuclear migration
0006611P	P	protein export from nucleus
0007346P	P	regulation of mitotic cell cycle
0000003P	P	reproduction
0010070P	P	zygote asymmetric cell division
0008134F	F	transcription factor binding
0042994P	P	cytoplasmic sequestering of transcription factor
0040024P	P	dauer larval development
0042308P	P	negative regulation of protein import into nucleus
0042470C	C	melanosome
0048471C	C	perinuclear region of cytoplasm
0045744P	P	negative regulation of G-protein coupled receptor protein signaling pathway
0006605P	P	protein targeting
0005829C	C	cytosol
0070062C	C	extracellular exosome
0005925C	C	focal adhesion
0016020C	C	membrane
0045296F	F	cadherin binding
0042826F	F	histone deacetylase binding
0042802F	F	identical protein binding
0050815F	F	phosphoserine residue binding
0051220P	P	cytoplasmic sequestering of protein
0035308P	P	negative regulation of protein dephosphorylation
0043085P	P	positive regulation of catalytic activity
0030659C	C	cytoplasmic vesicle membrane
0005739C	C	mitochondrion
0043234C	C	protein complex
0017053C	C	transcriptional repressor complex
0019899F	F	enzyme binding
0051219F	F	phosphoprotein binding
0008022F	F	protein C-terminus binding
0032403F	F	protein complex binding
0003714F	F	transcription corepressor activity
0035329P	P	hippo signaling
0000165P	P	MAPK cascade
0061024P	P	membrane organization
0045892P	P	negative regulation of transcription, DNA-templated
1900740P	P	positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway
0051291P	P	protein heterooligomerization
0043488P	P	regulation of mRNA stability
0016032P	P	viral process
0005886C	C	plasma membrane
0005246F	F	calcium channel regulator activity
0044325F	F	ion channel binding
0023026F	F	MHC class II protein complex binding
0015459F	F	potassium channel regulator activity
0046982F	F	protein heterodimerization activity
0003723F	F	RNA binding
0031625F	F	ubiquitin protein ligase binding
0034605P	P	cellular response to heat
0021987P	P	cerebral cortex development
0021766P	P	hippocampus development
1905913P	P	negative regulation of calcium ion export across plasma membrane
1901020P	P	negative regulation of calcium ion transmembrane transporter activity
1902309P	P	negative regulation of peptidyl-serine dephosphorylation
0001764P	P	neuron migration
0046827P	P	positive regulation of protein export from nucleus
0051480P	P	regulation of cytosolic calcium ion concentration
0060306P	P	regulation of membrane repolarization
1901016P	P	regulation of potassium ion transmembrane transporter activity
0021762P	P	substantia nigra development
0005813C	C	centrosome
0005694C	C	chromosome
0045172C	C	germline ring canal
0005654C	C	nucleoplasm
0007411P	P	axon guidance
0007623P	P	circadian rhythm
0000077P	P	DNA damage checkpoint
0007294P	P	germarium-derived oocyte fate determination
0007444P	P	imaginal disc development
0007093P	P	mitotic cell cycle checkpoint
0007095P	P	mitotic G2 DNA damage checkpoint
0008103P	P	oocyte microtubule cytoskeleton polarization
0007280P	P	pole cell migration
0070374P	P	positive regulation of ERK1 and ERK2 cascade
0045927P	P	positive regulation of growth
0046579P	P	positive regulation of Ras protein signal transduction
0040008P	P	regulation of growth
0007088P	P	regulation of mitotic nuclear division
0009314P	P	response to radiation
0009411P	P	response to UV
0048190P	P	wing disc dorsal/ventral pattern formation
0030424C	C	axon
0090724C	C	central region of growth cone
0005871C	C	kinesin complex
0017112F	F	Rab guanyl-nucleotide exchange factor activity
0097711P	P	ciliary basal body-plasma membrane docking
0000086P	P	G2/M transition of mitotic cell cycle
0035556P	P	intracellular signal transduction
0086013P	P	membrane repolarization during cardiac muscle cell action potential
0043154P	P	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process
1900034P	P	regulation of cellular response to heat
0010389P	P	regulation of G2/M transition of mitotic cell cycle
0086091P	P	regulation of heart rate by cardiac conduction
0003064P	P	regulation of heart rate by hormone
0014704C	C	intercalated disc
0003779F	F	actin binding
0035259F	F	glucocorticoid receptor binding
0005159F	F	insulin-like growth factor receptor binding
0017080F	F	sodium channel regulator activity
0006713P	P	glucocorticoid catabolic process
0042921P	P	glucocorticoid receptor signaling pathway
0006886P	P	intracellular protein transport
0086010P	P	membrane depolarization during action potential
0050774P	P	negative regulation of dendrite morphogenesis
0045893P	P	positive regulation of transcription, DNA-templated
0045664P	P	regulation of neuron differentiation
2000649P	P	regulation of sodium ion transmembrane transporter activity
0002028P	P	regulation of sodium ion transport
0048167P	P	regulation of synaptic plasticity
0007010P	P	cytoskeleton organization
0043066P	P	negative regulation of apoptotic process
0043209C	C	myelin sheath
0005080F	F	protein kinase C binding
0008426F	F	protein kinase C inhibitor activity
0030971F	F	receptor tyrosine kinase binding
0032869P	P	cellular response to insulin stimulus
0006469P	P	negative regulation of protein kinase activity
0009966P	P	regulation of signal transduction
0019901F	F	protein kinase binding
0061436P	P	establishment of skin barrier
0008630P	P	intrinsic apoptotic signaling pathway in response to DNA damage
0031424P	P	keratinization
0003334P	P	keratinocyte development
0010839P	P	negative regulation of keratinocyte proliferation
0030307P	P	positive regulation of cell growth
0045606P	P	positive regulation of epidermal cell differentiation
0000079P	P	regulation of cyclin-dependent protein serine/threonine kinase activity
0010482P	P	regulation of epidermal cell division
0001836P	P	release of cytochrome c from mitochondria
0005615C	C	extracellular space
0006977P	P	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest
0007165P	P	signal transduction
0030216P	P	keratinocyte differentiation
0051726P	P	regulation of cell cycle
0043588P	P	skin development
0047485F	F	protein N-terminus binding
0007264P	P	small GTPase mediated signal transduction
0071889F	F	14-3-3 protein binding
0034766P	P	negative regulation of ion transmembrane transport
0072562C	C	blood microparticle
0051683P	P	establishment of Golgi localization
0090168P	P	Golgi reassembly
0010941P	P	regulation of cell death
0005769C	C	early endosome
0031965C	C	nuclear membrane
0042803F	F	protein homodimerization activity
0007059P	P	chromosome segregation
0007611P	P	learning or memory
0045448P	P	mitotic cell cycle, embryonic
0007399P	P	nervous system development
0008355P	P	olfactory learning
0006457P	P	protein folding
0050821P	P	protein stabilization
0010906P	P	regulation of glucose metabolic process
0040040P	P	thermosensory behavior
0031982C	C	vesicle
0030168P	P	platelet activation
0006911P	P	phagocytosis, engulfment
0007420P	P	brain development
0007507P	P	heart development
0000785C	C	chromatin
0000790C	C	nuclear chromatin
0036126C	C	sperm flagellum
0035092P	P	sperm chromatin condensation
0009986C	C	cell surface
0031901C	C	early endosome membrane
0005783C	C	endoplasmic reticulum
0012507C	C	ER to Golgi transport vesicle membrane
0005794C	C	Golgi apparatus
0000139C	C	Golgi membrane
0071556C	C	integral component of lumenal side of endoplasmic reticulum membrane
0005887C	C	integral component of plasma membrane
0042612C	C	MHC class I protein complex
0030670C	C	phagocytic vesicle membrane
0055038C	C	recycling endosome membrane
0030881F	F	beta-2-microglobulin binding
0042605F	F	peptide antigen binding
0046977F	F	TAP binding
0002479P	P	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent
0002480P	P	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent
0002474P	P	antigen processing and presentation of peptide antigen via MHC class I
0016045P	P	detection of bacterium
0006955P	P	immune response
0060333P	P	interferon-gamma-mediated signaling pathway
0001916P	P	positive regulation of T cell mediated cytotoxicity
0050776P	P	regulation of immune response
0060337P	P	type I interferon signaling pathway
0005789C	C	endoplasmic reticulum membrane
0016567P	P	protein ubiquitination
0005102F	F	receptor binding
