id_genesynonym;id_ENSEMBL;name_genesynonym
ENSG00000121410_A1B;ENSG00000121410;A1B
ENSG00000121410_ABG;ENSG00000121410;ABG
ENSG00000121410_GAB;ENSG00000121410;GAB
ENSG00000121410_HYST2477;ENSG00000121410;HYST2477
ENSG00000175899_A2MD;ENSG00000175899;A2MD
ENSG00000175899_CPAMD5;ENSG00000175899;CPAMD5
ENSG00000175899_FWP007;ENSG00000175899;FWP007
ENSG00000175899_S863-7;ENSG00000175899;S863-7
ENSG00000256069_A2MP;ENSG00000256069;A2MP
ENSG00000171428_AAC1;ENSG00000171428;AAC1
ENSG00000171428_MNAT;ENSG00000171428;MNAT
ENSG00000171428_NAT-1;ENSG00000171428;NAT-1
ENSG00000171428_NATI;ENSG00000171428;NATI
ENSG00000156006_AAC2;ENSG00000156006;AAC2
ENSG00000156006_NAT-2;ENSG00000156006;NAT-2
ENSG00000156006_PNAT;ENSG00000156006;PNAT
ENSG00000196136_AACT;ENSG00000196136;AACT
ENSG00000196136_ACT;ENSG00000196136;ACT
ENSG00000196136_GIG24;ENSG00000196136;GIG24
ENSG00000196136_GIG25;ENSG00000196136;GIG25
ENSG00000114771_CES5A1;ENSG00000114771;CES5A1
ENSG00000114771_DAC;ENSG00000114771;DAC
ENSG00000129673_DSPS;ENSG00000129673;DSPS
ENSG00000129673_SNAT;ENSG00000129673;SNAT
ENSG00000090861_CMT2N;ENSG00000090861;CMT2N
ENSG00000090861_EIEE29;ENSG00000090861;EIEE29
ENSG00000183044_GABA-AT;ENSG00000183044;GABA-AT
ENSG00000183044_GABAT;ENSG00000183044;GABAT
ENSG00000183044_NPD009;ENSG00000183044;NPD009
ENSG00000165029_ABC-1;ENSG00000165029;ABC-1
ENSG00000165029_ABC1;ENSG00000165029;ABC1
ENSG00000165029_CERP;ENSG00000165029;CERP
ENSG00000165029_HDLDT1;ENSG00000165029;HDLDT1
ENSG00000165029_TGD;ENSG00000165029;TGD
ENSG00000107331_ABC2;ENSG00000107331;ABC2
ENSG00000167972_ABC-C;ENSG00000167972;ABC-C
ENSG00000167972_ABC3;ENSG00000167972;ABC3
ENSG00000167972_EST111653;ENSG00000167972;EST111653
ENSG00000167972_LBM180;ENSG00000167972;LBM180
ENSG00000167972_SMDP3;ENSG00000167972;SMDP3
ENSG00000131269_ABC7;ENSG00000131269;ABC7
ENSG00000131269_ASAT;ENSG00000131269;ASAT
ENSG00000131269_Atm1p;ENSG00000131269;Atm1p
ENSG00000131269_EST140535;ENSG00000131269;EST140535
ENSG00000204574_ABC27;ENSG00000204574;ABC27
ENSG00000204574_ABC50;ENSG00000204574;ABC50
ENSG00000198691_ABC10;ENSG00000198691;ABC10
ENSG00000198691_ABCR;ENSG00000198691;ABCR
ENSG00000198691_ARMD2;ENSG00000198691;ARMD2
ENSG00000198691_CORD3;ENSG00000198691;CORD3
ENSG00000198691_FFM;ENSG00000198691;FFM
ENSG00000198691_RMP;ENSG00000198691;RMP
ENSG00000198691_RP19;ENSG00000198691;RP19
ENSG00000198691_STGD;ENSG00000198691;STGD
ENSG00000198691_STGD1;ENSG00000198691;STGD1
ENSG00000097007_ABL;ENSG00000097007;ABL
ENSG00000097007_CHDSKM;ENSG00000097007;CHDSKM
ENSG00000097007_JTK7;ENSG00000097007;JTK7
ENSG00000097007_bcr/abl;ENSG00000097007;bcr/abl
ENSG00000097007_c-ABL;ENSG00000097007;c-ABL
ENSG00000097007_c-ABL1;ENSG00000097007;c-ABL1
ENSG00000097007_p150;ENSG00000097007;p150
ENSG00000097007_v-abl;ENSG00000097007;v-abl
ENSG00000002726_ABP;ENSG00000002726;ABP
ENSG00000002726_ABP1;ENSG00000002726;ABP1
ENSG00000002726_DAO;ENSG00000002726;DAO
ENSG00000002726_DAO1;ENSG00000002726;DAO1
ENSG00000002726_KAO;ENSG00000002726;KAO
ENSG00000143322_ABLL;ENSG00000143322;ABLL
ENSG00000143322_ARG;ENSG00000143322;ARG
ENSG00000175164_A3GALNT;ENSG00000175164;A3GALNT
ENSG00000175164_A3GALT1;ENSG00000175164;A3GALT1
ENSG00000175164_GTB;ENSG00000175164;GTB
ENSG00000175164_NAGAT;ENSG00000175164;NAGAT
ENSG00000159842_MDB;ENSG00000159842;MDB
ENSG00000060971_ACAA;ENSG00000060971;ACAA
ENSG00000060971_PTHIO;ENSG00000060971;PTHIO
ENSG00000060971_THIO;ENSG00000060971;THIO
ENSG00000278540_ACAC;ENSG00000278540;ACAC
ENSG00000278540_ACACAD;ENSG00000278540;ACACAD
ENSG00000278540_ACC;ENSG00000278540;ACC
ENSG00000278540_ACC1;ENSG00000278540;ACC1
ENSG00000278540_ACCA;ENSG00000278540;ACCA
ENSG00000076555_ACC2;ENSG00000076555;ACC2
ENSG00000076555_ACCB;ENSG00000076555;ACCB
ENSG00000076555_HACC275;ENSG00000076555;HACC275
ENSG00000115361_ACAD4;ENSG00000115361;ACAD4
ENSG00000115361_LCAD;ENSG00000115361;LCAD
ENSG00000117054_ACAD1;ENSG00000117054;ACAD1
ENSG00000117054_MCAD;ENSG00000117054;MCAD
ENSG00000117054_MCADH;ENSG00000117054;MCADH
ENSG00000122971_ACAD3;ENSG00000122971;ACAD3
ENSG00000122971_SCAD;ENSG00000122971;SCAD
ENSG00000196177_2-MEBCAD;ENSG00000196177;2-MEBCAD
ENSG00000196177_ACAD7;ENSG00000196177;ACAD7
ENSG00000196177_SBCAD;ENSG00000196177;SBCAD
ENSG00000072778_ACAD6;ENSG00000072778;ACAD6
ENSG00000072778_LCACD;ENSG00000072778;LCACD
ENSG00000072778_VLCAD;ENSG00000072778;VLCAD
ENSG00000075239_ACAT;ENSG00000075239;ACAT
ENSG00000075239_MAT;ENSG00000075239;MAT
ENSG00000075239_T2;ENSG00000075239;T2
ENSG00000075239_THIL;ENSG00000075239;THIL
ENSG00000108684_ACCN;ENSG00000108684;ACCN
ENSG00000108684_ACCN1;ENSG00000108684;ACCN1
ENSG00000108684_ASIC2a;ENSG00000108684;ASIC2a
ENSG00000108684_BNC1;ENSG00000108684;BNC1
ENSG00000108684_BNaC1;ENSG00000108684;BNaC1
ENSG00000108684_MDEG;ENSG00000108684;MDEG
ENSG00000108684_hBNaC1;ENSG00000108684;hBNaC1
ENSG00000110881_ACCN2;ENSG00000110881;ACCN2
ENSG00000110881_ASIC;ENSG00000110881;ASIC
ENSG00000110881_BNaC2;ENSG00000110881;BNaC2
ENSG00000087085_ACEE;ENSG00000087085;ACEE
ENSG00000087085_ARACHE;ENSG00000087085;ARACHE
ENSG00000087085_N-ACHE;ENSG00000087085;N-ACHE
ENSG00000087085_YT;ENSG00000087085;YT
ENSG00000131473_ACL;ENSG00000131473;ACL
ENSG00000131473_ATPCL;ENSG00000131473;ATPCL
ENSG00000131473_CLATP;ENSG00000131473;CLATP
ENSG00000122729_ACONS;ENSG00000122729;ACONS
ENSG00000122729_HEL60;ENSG00000122729;HEL60
ENSG00000122729_IREB1;ENSG00000122729;IREB1
ENSG00000122729_IREBP;ENSG00000122729;IREBP
ENSG00000122729_IREBP1;ENSG00000122729;IREBP1
ENSG00000122729_IRP1;ENSG00000122729;IRP1
ENSG00000100412_ACONM;ENSG00000100412;ACONM
ENSG00000100412_HEL-S-284;ENSG00000100412;HEL-S-284
ENSG00000100412_ICRD;ENSG00000100412;ICRD
ENSG00000100412_OCA8;ENSG00000100412;OCA8
ENSG00000100412_OPA9;ENSG00000100412;OPA9
ENSG00000161533_ACOX;ENSG00000161533;ACOX
ENSG00000161533_PALMCOX;ENSG00000161533;PALMCOX
ENSG00000161533_SCOX;ENSG00000161533;SCOX
ENSG00000143727_HAAP;ENSG00000143727;HAAP
ENSG00000143727_LMW-PTP;ENSG00000143727;LMW-PTP
ENSG00000143727_LMWPTP;ENSG00000143727;LMWPTP
ENSG00000134575_LAP;ENSG00000134575;LAP
ENSG00000102575_HPAP;ENSG00000102575;HPAP
ENSG00000102575_TRACP5a;ENSG00000102575;TRACP5a
ENSG00000102575_TRACP5b;ENSG00000102575;TRACP5b
ENSG00000102575_TRAP;ENSG00000102575;TRAP
ENSG00000102575_TrATPase;ENSG00000102575;TrATPase
ENSG00000014257_5'-NT;ENSG00000014257;5'-NT
ENSG00000014257_ACP-3;ENSG00000014257;ACP-3
ENSG00000014257_ACP3;ENSG00000014257;ACP3
ENSG00000134940_D11S4365;ENSG00000134940;D11S4365
ENSG00000134940_SP-10;ENSG00000134940;SP-10
ENSG00000134940_SPACA2;ENSG00000134940;SPACA2
ENSG00000143632_ACTA;ENSG00000143632;ACTA
ENSG00000143632_ASMA;ENSG00000143632;ASMA
ENSG00000143632_CFTD;ENSG00000143632;CFTD
ENSG00000143632_CFTD1;ENSG00000143632;CFTD1
ENSG00000143632_CFTDM;ENSG00000143632;CFTDM
ENSG00000143632_MPFD;ENSG00000143632;MPFD
ENSG00000143632_NEM1;ENSG00000143632;NEM1
ENSG00000143632_NEM2;ENSG00000143632;NEM2
ENSG00000143632_NEM3;ENSG00000143632;NEM3
ENSG00000143632_SHPM;ENSG00000143632;SHPM
ENSG00000107796_ACTSA;ENSG00000107796;ACTSA
ENSG00000075624_BRWS1;ENSG00000075624;BRWS1
ENSG00000075624_PS1TP5BP1;ENSG00000075624;PS1TP5BP1
ENSG00000159251_ACTC;ENSG00000159251;ACTC
ENSG00000159251_ASD5;ENSG00000159251;ASD5
ENSG00000159251_CMD1R;ENSG00000159251;CMD1R
ENSG00000159251_CMH11;ENSG00000159251;CMH11
ENSG00000159251_LVNC4;ENSG00000159251;LVNC4
ENSG00000184009_ACT;ENSG00000184009;ACT
ENSG00000184009_ACTG;ENSG00000184009;ACTG
ENSG00000184009_DFNA20;ENSG00000184009;DFNA20
ENSG00000184009_DFNA26;ENSG00000184009;DFNA26
ENSG00000184009_HEL-176;ENSG00000184009;HEL-176
ENSG00000163017_ACT;ENSG00000163017;ACT
ENSG00000163017_ACTA3;ENSG00000163017;ACTA3
ENSG00000163017_ACTE;ENSG00000163017;ACTE
ENSG00000163017_ACTL3;ENSG00000163017;ACTL3
ENSG00000163017_ACTSG;ENSG00000163017;ACTSG
ENSG00000163017_VSCM;ENSG00000163017;VSCM
ENSG00000130402_ACTININ-4;ENSG00000130402;ACTININ-4
ENSG00000130402_FSGS;ENSG00000130402;FSGS
ENSG00000130402_FSGS1;ENSG00000130402;FSGS1
ENSG00000136518_ACTL6;ENSG00000136518;ACTL6
ENSG00000136518_ARPN-BETA;ENSG00000136518;ARPN-BETA
ENSG00000136518_Arp4;ENSG00000136518;Arp4
ENSG00000136518_BAF53A;ENSG00000136518;BAF53A
ENSG00000136518_INO80K;ENSG00000136518;INO80K
ENSG00000072110_BDPLT15;ENSG00000072110;BDPLT15
ENSG00000077522_CMD1AA;ENSG00000077522;CMD1AA
ENSG00000077522_CMH23;ENSG00000077522;CMH23
ENSG00000248746_ACTN3D;ENSG00000248746;ACTN3D
ENSG00000115170_ACTRI;ENSG00000115170;ACTRI
ENSG00000115170_ACVR1A;ENSG00000115170;ACVR1A
ENSG00000115170_ACVRLK2;ENSG00000115170;ACVRLK2
