id_Uniprot;id_NCBI;protein_recommended_name;id_pfam
128UP_DROME;36288;GTP-binding protein 128up;PF01926|PF16897|PF02824
140U_DROME;41720;RPII140-upstream gene protein;PF02466
14331_CAEEL;178113;14-3-3-like protein 1;PF00244
14332_CAEEL;181348;14-3-3-like protein 2;PF00244
1433A_TOBAC;107794654;14-3-3-like protein A;PF00244
1433B_HUMAN;7529;14-3-3 protein beta/alpha;PF00244
1433B_MOUSE;54401;14-3-3 protein beta/alpha;PF00244
1433B_TOBAC;107787833;14-3-3-like protein B;PF00244
1433C_TOBAC;107777576;14-3-3-like protein C;PF00244
1433D_TOBAC;107805373;14-3-3-like protein D;PF00244
1433E_DROME;42186;14-3-3 protein epsilon;PF00244
1433E_HUMAN;7531;14-3-3 protein epsilon;PF00244
1433E_MOUSE;22627;14-3-3 protein epsilon;PF00244
1433E_TOBAC;107829791;14-3-3-like protein E;PF00244
1433F_HUMAN;7533;14-3-3 protein eta;PF00244
1433F_MOUSE;22629;14-3-3 protein eta;PF00244
1433F_TOBAC;107801900;14-3-3-like protein F;PF00244
1433G_HUMAN;7532;14-3-3 protein gamma;PF00244
1433G_MOUSE;22628;14-3-3 protein gamma;PF00244
1433S_HUMAN;2810;14-3-3 protein sigma;PF00244
1433S_MOUSE;55948;14-3-3 protein sigma;PF00244
1433T_HUMAN;10971;14-3-3 protein theta;PF00244
1433T_MOUSE;22630;14-3-3 protein theta;PF00244
1433Z_DROME;36059;14-3-3 protein zeta;PF00244
1433Z_HUMAN;7534;14-3-3 protein zeta/delta;PF00244
1433Z_MOUSE;22631;14-3-3 protein zeta/delta;PF00244
1433_TOBAC;107784347;14-3-3-like protein;PF00244
143BA_DANRE;323055;14-3-3 protein beta/alpha-A;PF00244
143BB_DANRE;406419;14-3-3 protein beta/alpha-B;PF00244
143G1_DANRE;117604;14-3-3 protein gamma-1;PF00244
1A01_HUMAN;3105;HLA class I histocompatibility antigen, A-1 alpha chain;PF07654|PF00129|PF06623
