Gene_id_NCBI;OrthologueCluster_ortho_cluster
850796;EOG0926004Z
856862;EOG09260060
852068;EOG09260060
850619;EOG09260075
850776;EOG0926008B
852190;EOG0926009O
856233;EOG092600FU
853529;EOG092600HC
853632;EOG092600HC
851175;EOG092600LS
856570;EOG092600NM
852437;EOG092600PJ
854073;EOG092600PJ
852680;EOG092600PZ
852254;EOG092600PZ
852254;EOG092600PZ
852282;EOG092600S9
852433;EOG092600SD
850455;EOG092600SK
855750;EOG092600T4
851383;EOG092600T9
855459;EOG092600W1
850574;EOG092600X0
853131;EOG092600XJ
853653;EOG0926010C
855845;EOG0926010C
850541;EOG09260111
856899;EOG0926015E
854260;EOG0926016V
851727;EOG092601AY
850511;EOG092601D9
850800;EOG092601DN
853977;EOG092601DN
851289;EOG092601DN
856618;EOG092601DN
851236;EOG092601DN
851649;EOG092601DN
856893;EOG092601DN
851234;EOG092601DN
851232;EOG092601DN
1466531;EOG092601DN
856620;EOG092601DN
850493;EOG092601DN
1466531;EOG092601DN
856620;EOG092601DN
850398;EOG092601IU
851141;EOG092601JN
855943;EOG092601KZ
850711;EOG092601RP
852338;EOG092601SL
851590;EOG092601SL
856919;EOG092601TO
853187;EOG092601TO
856314;EOG092601UY
853583;EOG092601WW
851415;EOG092601X1
854283;EOG092601X1
855197;EOG092601XC
854677;EOG092601YK
855214;EOG09260228
852920;EOG0926024P
851055;EOG0926024P
855353;EOG0926024P
853855;EOG0926025H
851207;EOG0926025I
851667;EOG0926025I
856913;EOG0926025I
855289;EOG09260274
850409;EOG09260289
856418;EOG09260298
853096;EOG0926029E
853671;EOG092602B9
852666;EOG092602BZ
855936;EOG092602FH
856023;EOG092602I6
851705;EOG092602IX
853452;EOG092602L3
855479;EOG092602MO
852394;EOG092602OP
851748;EOG092602UY
856355;EOG092602YZ
853350;EOG092602ZJ
851076;EOG092602ZJ
852507;EOG0926030Z
852519;EOG0926030Z
852818;EOG0926030Z
855621;EOG09260375
855259;EOG0926037J
856293;EOG092603AX
854158;EOG092603C3
851030;EOG092603CX
852412;EOG092603D0
854943;EOG092603EH
855450;EOG092603HT
854647;EOG092603HT
853498;EOG092603J6
852990;EOG092603JK
854508;EOG092603KJ
855269;EOG092603YJ
854506;EOG092603ZF
856049;EOG092603ZF
852015;EOG092603ZF
855807;EOG092603ZF
854324;EOG092603ZF
851574;EOG092603ZF
851209;EOG0926041W
854418;EOG0926042C
852228;EOG0926042C
854868;EOG0926044S
853970;EOG0926045N
854657;EOG0926045N
853605;EOG0926046Z
853602;EOG0926047G
854504;EOG0926048J
851204;EOG0926048J
853011;EOG09260492
854514;EOG0926049A
855549;EOG0926049S
851761;EOG092604A0
851019;EOG092604CD
851737;EOG092604EE
853603;EOG092604I8
850643;EOG092604K3
851895;EOG092604KQ
851681;EOG092604KW
855420;EOG092604MJ
853410;EOG092604ML
854903;EOG092604NE
853660;EOG092604OQ
854563;EOG092604OQ
855797;EOG092604OQ
854566;EOG092604OQ
850675;EOG092604OQ
854291;EOG092604S1
855159;EOG092604ZZ
856137;EOG0926051A
853335;EOG0926051U
852233;EOG0926053P
850645;EOG09260556
851713;EOG09260556
853198;EOG09260556
851137;EOG09260557
854466;EOG0926055F
851446;EOG0926055X
853408;EOG0926057S
856688;EOG092605BD
850436;EOG092605FC
855765;EOG092605FC
856726;EOG092605JJ
850376;EOG092605KN
854322;EOG092605OH
854519;EOG092605OK
851719;EOG092605QM
854465;EOG092605R1
854680;EOG092605R1
856499;EOG092605T6
855583;EOG092605VL
850773;EOG092605VU
853397;EOG092605YP
851114;EOG092605YP
850442;EOG092605ZA
856101;EOG0926061I
853488;EOG0926064W
856691;EOG0926064W
853665;EOG0926065U
852702;EOG0926066J
854213;EOG0926066J
852139;EOG092606AD
855350;EOG092606AJ
850540;EOG092606CY
852786;EOG092606JF
853186;EOG092606O3
851706;EOG092606QR
855637;EOG092606TN
856681;EOG092606UH
856842;EOG092606UX
852199;EOG092606UX
851262;EOG092606W6
855471;EOG092606WZ
853365;EOG092606YE
853928;EOG092606ZM
854123;EOG0926071Q
856168;EOG0926071R
855636;EOG0926073O
851410;EOG0926074Y
856319;EOG09260779
852016;EOG0926077L
856569;EOG09260787
850977;EOG0926079Q
855994;EOG092607C9
856119;EOG092607CA
856240;EOG092607FZ
852737;EOG092607HR
854694;EOG092607OB
854956;EOG092607OQ
852721;EOG092607QZ
850756;EOG092607TG
855967;EOG092607X6
854402;EOG092607X6
854066;EOG092607ZE
856911;EOG092607ZS
855011;EOG0926084H
851934;EOG0926084Q
856162;EOG0926088F
851150;EOG092608AE
856095;EOG092608AV
852952;EOG092608C4
854382;EOG092608FZ
856563;EOG092608GK
853153;EOG092608GK
853729;EOG092608L0
855136;EOG092608L0
851935;EOG092608NU
854175;EOG092608P2
854802;EOG092608P2
851099;EOG092608RH
856722;EOG092608SX
855332;EOG092608T8
854527;EOG092608WI
854471;EOG092608WU
853808;EOG092608Y6
854900;EOG092608ZS
851171;EOG092608ZS
853573;EOG0926091P
853311;EOG0926091P
852202;EOG0926092K
853035;EOG0926092O
852168;EOG09260931
856144;EOG09260931
851835;EOG0926094P
852868;EOG0926095O
855858;EOG0926097G
850885;EOG0926097G
853242;EOG0926099C
855988;EOG092609B2
853770;EOG092609CK
853080;EOG092609EC
854267;EOG092609HF
856067;EOG092609JB
850589;EOG092609LI
850886;EOG092609LR
854922;EOG092609NT
853859;EOG092609O9
851156;EOG092609OQ
853194;EOG092609P9
853114;EOG092609P9
856593;EOG092609RF
855488;EOG092609VS
851862;EOG092609YT
850507;EOG09260A1Y
853026;EOG09260A27
855919;EOG09260A2D
850728;EOG09260A57
853490;EOG09260A6Q
851332;EOG09260A98
853148;EOG09260A9Q
852041;EOG09260AB8
851441;EOG09260ABP
853133;EOG09260ABY
851877;EOG09260AC3
854360;EOG09260AD4
853048;EOG09260AEC
854659;EOG09260AF1
855104;EOG09260AGG
854203;EOG09260AHL
855392;EOG09260ANO
854197;EOG09260AOA
854525;EOG09260AOA
854531;EOG09260APA
854138;EOG09260AQB
850951;EOG09260ARE
855718;EOG09260ARE
855875;EOG09260ARE
855485;EOG09260AYD
854681;EOG09260AZA
856085;EOG09260AZK
854763;EOG09260AZM
853174;EOG09260B3H
852530;EOG09260B3X
851802;EOG09260B55
855464;EOG09260B5D
856560;EOG09260B5D
853630;EOG09260B65
855600;EOG09260B6J
853433;EOG09260B71
853355;EOG09260BAQ
856559;EOG09260BAQ
856141;EOG09260BBX
852243;EOG09260BBX
855639;EOG09260BFE
853191;EOG09260BL6
851741;EOG09260BM1
851456;EOG09260BM1
852655;EOG09260BRA
855558;EOG09260BSW
850775;EOG09260BUL
854973;EOG09260BYL
856476;EOG09260BZ0
851255;EOG09260C2V
854815;EOG09260C3I
855618;EOG09260C3I
854276;EOG09260C3I
852986;EOG09260C4H
853223;EOG09260C5W
853828;EOG09260C6P
853551;EOG09260C8L
851486;EOG09260C9U
853596;EOG09260CBD
852004;EOG09260CBD
851358;EOG09260CKC
853118;EOG09260CLO
852378;EOG09260CLO
852938;EOG09260CMZ
