id_Uniprot;id_ENSEMBL;protein_recommended_name;id_pfam
1433B_HUMAN;ENSG00000166913;14-3-3 protein beta/alpha;PF00244
1433E_HUMAN;ENSG00000108953;14-3-3 protein epsilon;PF00244
1433F_HUMAN;ENSG00000128245;14-3-3 protein eta;PF00244
1433G_HUMAN;ENSG00000170027;14-3-3 protein gamma;PF00244
1433S_HUMAN;ENSG00000175793;14-3-3 protein sigma;PF00244
1433T_HUMAN;ENSG00000134308;14-3-3 protein theta;PF00244
1433Z_HUMAN;ENSG00000164924;14-3-3 protein zeta/delta;PF00244
1A01_HUMAN;ENSG00000229215;HLA class I histocompatibility antigen, A-1 alpha chain;PF07654|PF00129|PF06623
1A02_HUMAN;ENSG00000235657;HLA class I histocompatibility antigen, A-2 alpha chain;PF07654|PF00129|PF06623
1A03_HUMAN;ENSG00000206503;HLA class I histocompatibility antigen, A-3 alpha chain;PF07654|PF00129|PF06623
1A11_HUMAN;ENSG00000206503;HLA class I histocompatibility antigen, A-11 alpha chain;PF07654|PF00129|PF06623
1A1L1_HUMAN;ENSG00000110455;1-aminocyclopropane-1-carboxylate synthase-like protein 1;PF00155
1A1L2_HUMAN;ENSG00000205126;Probable inactive 1-aminocyclopropane-1-carboxylate synthase-like protein 2;PF00155
1A23_HUMAN;ENSG00000223980;HLA class I histocompatibility antigen, A-23 alpha chain;PF07654|PF00129|PF06623
1A24_HUMAN;ENSG00000229215;HLA class I histocompatibility antigen, A-24 alpha chain;PF07654|PF00129|PF06623
1A25_HUMAN;ENSG00000206505;HLA class I histocompatibility antigen, A-25 alpha chain;PF07654|PF00129|PF06623
1A26_HUMAN;ENSG00000206505;HLA class I histocompatibility antigen, A-26 alpha chain;PF07654|PF00129|PF06623
1A29_HUMAN;ENSG00000231834;HLA class I histocompatibility antigen, A-29 alpha chain;PF07654|PF00129|PF06623
1A30_HUMAN;ENSG00000206503;HLA class I histocompatibility antigen, A-30 alpha chain;PF07654|PF00129|PF06623
1A31_HUMAN;ENSG00000231834;HLA class I histocompatibility antigen, A-31 alpha chain;PF07654|PF00129|PF06623
1A32_HUMAN;ENSG00000223980;HLA class I histocompatibility antigen, A-32 alpha chain;PF07654|PF00129|PF06623
1A33_HUMAN;ENSG00000231834;HLA class I histocompatibility antigen, A-33 alpha chain;PF07654|PF00129|PF06623
1A34_HUMAN;ENSG00000206505;HLA class I histocompatibility antigen, A-34 alpha chain;PF07654|PF00129|PF06623
1A36_HUMAN;ENSG00000229215;HLA class I histocompatibility antigen, A-36 alpha chain;PF07654|PF00129|PF06623
1A43_HUMAN;ENSG00000206505;HLA class I histocompatibility antigen, A-43 alpha chain;PF07654|PF00129|PF06623
1A66_HUMAN;ENSG00000206505;HLA class I histocompatibility antigen, A-66 alpha chain;PF07654|PF00129|PF06623
1A68_HUMAN;ENSG00000235657;HLA class I histocompatibility antigen, A-68 alpha chain;PF07654|PF00129|PF06623
1A69_HUMAN;ENSG00000235657;HLA class I histocompatibility antigen, A-69 alpha chain;PF07654|PF00129|PF06623
1A74_HUMAN;ENSG00000223980;HLA class I histocompatibility antigen, A-74 alpha chain;PF07654|PF00129|PF06623
1A80_HUMAN;ENSG00000229215;HLA class I histocompatibility antigen, A-80 alpha chain;PF07654|PF00129|PF06623
1B07_HUMAN;ENSG00000234745;HLA class I histocompatibility antigen, B-7 alpha chain;PF07654|PF00129|PF06623
1B08_HUMAN;ENSG00000223532;HLA class I histocompatibility antigen, B-8 alpha chain;PF07654|PF00129|PF06623
1B13_HUMAN;ENSG00000224608;HLA class I histocompatibility antigen, B-13 alpha chain;PF07654|PF00129|PF06623
1B14_HUMAN;ENSG00000223532;HLA class I histocompatibility antigen, B-14 alpha chain;PF07654|PF00129|PF06623
1B15_HUMAN;ENSG00000232126;HLA class I histocompatibility antigen, B-15 alpha chain;PF07654|PF00129|PF06623
1B18_HUMAN;ENSG00000206450;HLA class I histocompatibility antigen, B-18 alpha chain;PF07654|PF00129|PF06623
1B27_HUMAN;ENSG00000224608;HLA class I histocompatibility antigen, B-27 alpha chain;PF07654|PF00129|PF06623
1B35_HUMAN;ENSG00000206450;HLA class I histocompatibility antigen, B-35 alpha chain;PF07654|PF00129|PF06623
1B37_HUMAN;ENSG00000206450;HLA class I histocompatibility antigen, B-37 alpha chain;PF07654|PF00129|PF06623
1B38_HUMAN;ENSG00000223532;HLA class I histocompatibility antigen, B-38 alpha chain;PF07654|PF00129|PF06623
1B39_HUMAN;ENSG00000223532;HLA class I histocompatibility antigen, B-39 alpha chain;PF07654|PF00129|PF06623
1B40_HUMAN;ENSG00000206450;HLA class I histocompatibility antigen, B-40 alpha chain;PF07654|PF00129|PF06623
