Gene_id_NCBI	OrthologueCluster_ortho_cluster
850796	EOG0926004Z
9	EOG0926004Z
1	EOG0926004Z
2	EOG0926004Z
2	EOG0926005U
1	EOG0926005U
852068	EOG09260060
2541818	EOG09260060
2539956	EOG09260060
2542432	EOG09260060
2	EOG09260060
856862	EOG09260060
9	EOG09260075
1	EOG09260075
9	EOG0926009O
2	EOG0926009O
852190	EOG0926009O
2	EOG092600FU
2540720	EOG092600HC
853529	EOG092600HC
2	EOG092600HC
853632	EOG092600HC
9	EOG092600IC
2	EOG092600IC
1	EOG092600LS
1	EOG092600NM
856570	EOG092600NM
2	EOG092600NM
854073	EOG092600PJ
2	EOG092600PJ
2540870	EOG092600PZ
2539178	EOG092600PZ
852254	EOG092600PZ
2	EOG092600PZ
852680	EOG092600PZ
852282	EOG092600S9
2	EOG092600S9
9	EOG092600SD
1	EOG092600SD
852433	EOG092600SD
2	EOG092600SD
850455	EOG092600SK
1	EOG092600SK
2	EOG092600SK
855750	EOG092600T4
2	EOG092600T4
851383	EOG092600T9
9	EOG092600T9
2	EOG092600T9
855459	EOG092600W1
2	EOG092600W1
850574	EOG092600X0
1	EOG092600X0
2	EOG092600X0
853131	EOG092600XJ
1	EOG092600XJ
2	EOG092600XJ
9	EOG0926010C
853653	EOG0926010C
855845	EOG0926010C
2543618	EOG0926010C
2	EOG0926010C
2540243	EOG0926010H
1	EOG0926010H
2540007	EOG0926010H
2	EOG0926010X
1	EOG09260111
9	EOG0926015E
9	EOG0926016V
854260	EOG0926016V
2543329	EOG0926016V
1	EOG0926016V
2	EOG0926016V
9	EOG092601AX
1	EOG092601AX
2539117	EOG092601AX
2542041	EOG092601AX
2	EOG092601AX
1	EOG092601AY
2	EOG092601AY
1	EOG092601D9
851234	EOG092601DN
850800	EOG092601DN
851289	EOG092601DN
851649	EOG092601DN
2539201	EOG092601DN
2	EOG092601DN
850493	EOG092601DN
856893	EOG092601DN
2543356	EOG092601DN
856620	EOG092601DN
1466531	EOG092601DN
2541363	EOG092601DN
853977	EOG092601DN
2541886	EOG092601DN
2540145	EOG092601DN
856618	EOG092601DN
851236	EOG092601DN
851232	EOG092601DN
1	EOG092601E2
2	EOG092601E2
1	EOG092601IU
850398	EOG092601IU
2	EOG092601IU
1	EOG092601JN
855943	EOG092601KZ
2	EOG092601KZ
1	EOG092601RP
852338	EOG092601SL
2541545	EOG092601SL
851590	EOG092601SL
2	EOG092601SL
2539673	EOG092601TO
853187	EOG092601TO
2	EOG092601TO
856919	EOG092601TO
1	EOG092601UY
9	EOG092601X1
854283	EOG092601X1
851415	EOG092601X1
2541094	EOG092601X1
2	EOG092601X1
1	EOG092601XC
855197	EOG092601XC
854677	EOG092601YK
1	EOG092601YK
2	EOG092601YK
1	EOG09260228
2	EOG09260228
851055	EOG0926024P
9	EOG0926024P
852920	EOG0926024P
2541586	EOG0926024P
1	EOG0926024P
2538822	EOG0926024P
2540737	EOG0926024P
855353	EOG0926024P
2	EOG0926024P
9	EOG0926025H
1	EOG0926025H
853855	EOG0926025H
2	EOG0926025H
851667	EOG0926025I
851207	EOG0926025I
2543523	EOG0926025I
1	EOG0926025I
2541239	EOG0926025I
2	EOG0926025I
856913	EOG0926025I
9	EOG09260274
855289	EOG09260274
2	EOG09260274
850409	EOG09260289
1	EOG09260289
2	EOG09260289
856418	EOG09260298
2543576	EOG09260298
9	EOG09260298
1	EOG09260298
2	EOG09260298
9	EOG0926029E
2540764	EOG0926029E
853096	EOG0926029E
2	EOG0926029E
853671	EOG092602B9
2	EOG092602B9
852666	EOG092602BZ
2	EOG092602BZ
855936	EOG092602FH
2	EOG092602FH
9	EOG092602I6
2	EOG092602I6
856023	EOG092602I6
2	EOG092602IX
1	EOG092602IX
851705	EOG092602IX
1	EOG092602L3
2	EOG092602L3
853452	EOG092602L3
855479	EOG092602MO
1	EOG092602MO
2	EOG092602MO
852394	EOG092602OP
9	EOG092602OP
2	EOG092602OP
2	EOG092602OW
1	EOG092602UY
851748	EOG092602UY
2	EOG092602UY
2542107	EOG092602UY
856355	EOG092602YZ
1	EOG092602YZ
2542175	EOG092602ZJ
1	EOG092602ZJ
853350	EOG092602ZJ
2	EOG092602ZJ
851076	EOG092602ZJ
852519	EOG0926030Z
9	EOG0926030Z
852507	EOG0926030Z
1	EOG0926030Z
852818	EOG0926030Z
2	EOG0926030Z
2	EOG0926035H
1	EOG0926035H
855621	EOG09260375
9	EOG09260375
2	EOG09260375
2	EOG0926037J
9	EOG0926037J
9	EOG092603AM
2	EOG092603AM
9	EOG092603AX
2	EOG092603AX
2539793	EOG092603C3
1	EOG092603C3
2541624	EOG092603C3
854158	EOG092603C3
2	EOG092603C3
1	EOG092603CX
9	EOG092603D0
852412	EOG092603D0
2	EOG092603D0
854943	EOG092603EH
9	EOG092603EH
1	EOG092603EH
2	EOG092603EH
2541741	EOG092603HT
855450	EOG092603HT
854647	EOG092603HT
1	EOG092603HT
2539487	EOG092603HT
2	EOG092603HT
9	EOG092603J6
9	EOG092603JK
852990	EOG092603JK
2	EOG092603JK
9	EOG092603KJ
854508	EOG092603KJ
2	EOG092603KJ
1	EOG092603RS
2	EOG092603RS
1	EOG092603SM
2	EOG092603SM
9	EOG092603YJ
855269	EOG092603YJ
2	EOG092603YJ
855807	EOG092603ZF
856049	EOG092603ZF
9	EOG092603ZF
852015	EOG092603ZF
854324	EOG092603ZF
854506	EOG092603ZF
1	EOG092603ZF
851574	EOG092603ZF
2	EOG092603ZF
9	EOG0926041W
1	EOG0926041W
2	EOG0926041W
852228	EOG0926042C
854418	EOG0926042C
2542170	EOG0926042C
2	EOG0926042C
2	EOG09260447
854868	EOG0926044S
1	EOG0926044S
2	EOG0926044S
2538843	EOG0926045N
854657	EOG0926045N
853970	EOG0926045N
2	EOG0926045N
853605	EOG0926046Z
2	EOG0926046Z
9	EOG0926047G
853602	EOG0926047G
2	EOG0926047G
851204	EOG0926048J
854504	EOG0926048J
2	EOG0926048J
2538846	EOG0926048J
853011	EOG09260492
1	EOG09260492
2	EOG09260492
1	EOG0926049A
854514	EOG0926049A
2	EOG0926049A
9	EOG0926049S
855549	EOG0926049S
2	EOG0926049S
851761	EOG092604A0
2	EOG092604A0
9	EOG092604CD
1	EOG092604CD
9	EOG092604EE
1	EOG092604EE
2539567	EOG092604EE
2	EOG092604EE
851737	EOG092604EE
853603	EOG092604I8
9	EOG092604I8
2	EOG092604I8
9	EOG092604K3
850643	EOG092604K3
2	EOG092604K3
851895	EOG092604KQ
9	EOG092604KQ
2	EOG092604KQ
851681	EOG092604KW
9	EOG092604KW
2	EOG092604KW
855420	EOG092604MJ
1	EOG092604MJ
2	EOG092604MJ
853410	EOG092604ML
2	EOG092604ML
9	EOG092604NE
850675	EOG092604OQ
855797	EOG092604OQ
854566	EOG092604OQ
854563	EOG092604OQ
9	EOG092604S1
854291	EOG092604S1
2	EOG092604S1
9	EOG092604SR
2543204	EOG092604SR
2	EOG092604SR
2	EOG092604TJ
855159	EOG092604ZZ
9	EOG092604ZZ
2	EOG092604ZZ
1	EOG0926051A
853335	EOG0926051U
2	EOG0926051U
2540824	EOG0926053P
852233	EOG0926053P
2	EOG0926053P
9	EOG09260556
853198	EOG09260556
1	EOG09260556
851713	EOG09260556
850645	EOG09260556
2	EOG09260556
851137	EOG09260557
9	EOG09260557
2	EOG09260557
854466	EOG0926055F
9	EOG0926055F
2	EOG0926055F
1	EOG0926055X
2542873	EOG092605FC
850436	EOG092605FC
9	EOG092605FC
855765	EOG092605FC
2	EOG092605FC
2	EOG092605JJ
1	EOG092605KN
850376	EOG092605KN
2	EOG092605KN
1	EOG092605OH
854322	EOG092605OH
2	EOG092605OH
854519	EOG092605OK
2	EOG092605OK
851719	EOG092605QM
2	EOG092605QM
2538881	EOG092605R1
854680	EOG092605R1
854465	EOG092605R1
2	EOG092605R1
856499	EOG092605T6
1	EOG092605T6
2541659	EOG092605T6
2	EOG092605T6
1	EOG092605VD
2	EOG092605VD
855583	EOG092605VL
1	EOG092605VL
9	EOG092605VU
850773	EOG092605VU
2	EOG092605VU
1	EOG092605Y8
2	EOG092605Y8
853397	EOG092605YP
9	EOG092605YP
2538841	EOG092605YP
1	EOG092605YP
2	EOG092605YP
851114	EOG092605YP
850442	EOG092605ZA
2	EOG092605ZA
1	EOG0926061I
1	EOG0926064C
2	EOG0926064C
856691	EOG0926064W
853488	EOG0926064W
2	EOG0926064W
2542983	EOG0926065U
9	EOG0926065U
853665	EOG0926065U
2	EOG0926065U
2542674	EOG0926066J
852702	EOG0926066J
2	EOG0926066J
854213	EOG0926066J
852139	EOG092606AD
1	EOG092606AD
2	EOG092606AD
855350	EOG092606AJ
2539385	EOG092606AJ
1	EOG092606AJ
2	EOG092606AJ
9	EOG092606BL
2	EOG092606BL
850540	EOG092606CY
2	EOG092606CY
852786	EOG092606JF
1	EOG092606JF
2	EOG092606JF
9	EOG092606K6
1	EOG092606K6
2	EOG092606K6
9	EOG092606N3
1	EOG092606N3
2	EOG092606N3
2541287	EOG092606O3
853186	EOG092606O3
2	EOG092606O3
851706	EOG092606QR
1	EOG092606QR
2	EOG092606QR
2	EOG092606SI
9	EOG092606SY
2	EOG092606SY
855637	EOG092606TN
9	EOG092606TN
2542267	EOG092606TN
2	EOG092606TN
856681	EOG092606UH
1	EOG092606UH
2	EOG092606UH
852199	EOG092606UX
856842	EOG092606UX
2	EOG092606UX
851262	EOG092606W6
2	EOG092606W6
1	EOG092606WZ
855471	EOG092606WZ
2	EOG092606WZ
9	EOG092606YE
853365	EOG092606YE
2	EOG092606YE
853928	EOG092606ZM
1	EOG092606ZM
854123	EOG0926071Q
1	EOG0926071Q
2	EOG0926071Q
9	EOG0926071R
2	EOG0926071R
856168	EOG0926071R
855636	EOG0926073O
1	EOG0926073O
2	EOG0926073O
1	EOG0926074Y
851410	EOG0926074Y
2	EOG0926074Y
856319	EOG09260779
9	EOG09260779
1	EOG09260779
2	EOG09260779
852016	EOG0926077L
2	EOG0926077L
856569	EOG09260787
1	EOG09260787
2	EOG09260787
850977	EOG0926079Q
1	EOG0926079Q
2	EOG0926079Q
9	EOG092607AG
1	EOG092607AG
2	EOG092607AG
855994	EOG092607C9
2	EOG092607C9
856119	EOG092607CA
1	EOG092607CA
2	EOG092607CA
2539050	EOG092607D5
2	EOG092607D5
2	EOG092607FZ
2	EOG092607HR
1	EOG092607O8
2	EOG092607O8
9	EOG092607OB
854956	EOG092607OQ
2	EOG092607OQ
852721	EOG092607QZ
2	EOG092607QZ
9	EOG092607X6
854402	EOG092607X6
856911	EOG092607ZS
2542363	EOG092607ZS
2	EOG092607ZS
1	EOG0926084H
9	EOG0926084M
2	EOG0926084M
1	EOG0926084Q
851934	EOG0926084Q
1	EOG0926088F
2	EOG0926088F
2540523	EOG092608AE
851150	EOG092608AE
1	EOG092608AE
2	EOG092608AE
856095	EOG092608AV
2	EOG092608AV
852952	EOG092608C4
1	EOG092608C4
2	EOG092608C4
9	EOG092608FZ
854382	EOG092608FZ
2	EOG092608FZ
9	EOG092608GK
856563	EOG092608GK
2	EOG092608GK
853153	EOG092608GK
855136	EOG092608L0
9	EOG092608L0
2	EOG092608L0
853729	EOG092608L0
1	EOG092608LC
9	EOG092608NU
2	EOG092608NU
851935	EOG092608NU
1	EOG092608P2
854802	EOG092608P2
9	EOG092608RH
851099	EOG092608RH
2	EOG092608RH
1	EOG092608SX
856722	EOG092608SX
2	EOG092608SX
2	EOG092608T8
9	EOG092608WI
854527	EOG092608WI
2	EOG092608WI
9	EOG092608WU
854471	EOG092608WU
2	EOG092608WU
9	EOG092608ZS
854900	EOG092608ZS
2	EOG092608ZS
851171	EOG092608ZS
9	EOG0926091P
2541544	EOG0926091P
853311	EOG0926091P
2	EOG0926091P
853573	EOG0926091P
852202	EOG0926092K
1	EOG0926092K
2	EOG0926092K
852168	EOG09260931
856144	EOG09260931
2	EOG09260931
851835	EOG0926094P
2	EOG0926094P
852868	EOG0926095O
1	EOG0926095O
2	EOG0926095O
850885	EOG0926097G
855858	EOG0926097G
1	EOG0926097G
2	EOG0926097G
9	EOG0926099C
853242	EOG0926099C
2539228	EOG0926099C
2	EOG0926099C
855988	EOG092609B2
2	EOG092609B2
853080	EOG092609EC
1	EOG092609EC
2	EOG092609EC
2	EOG092609G7
9	EOG092609G7
2	EOG092609HF
9	EOG092609JB
856067	EOG092609JB
2	EOG092609JB
9	EOG092609LI
1	EOG092609LI
850589	EOG092609LI
2	EOG092609LI
9	EOG092609NT
2	EOG092609NT
1	EOG092609O9
853859	EOG092609O9
2	EOG092609O9
1	EOG092609OQ
853194	EOG092609P9
853114	EOG092609P9
9	EOG092609P9
2	EOG092609P9
856593	EOG092609RF
2	EOG092609RF
9	EOG092609T4
1	EOG092609T4
2	EOG092609T4
9	EOG092609TW
1	EOG092609TW
2	EOG092609TW
851862	EOG092609YT
2	EOG092609YT
850507	EOG09260A1Y
2	EOG09260A1Y
2	EOG09260A27
853026	EOG09260A27
855919	EOG09260A2D
9	EOG09260A2D
1	EOG09260A2D
2	EOG09260A2D
2	EOG09260A57
9	EOG09260A6Q
853490	EOG09260A6Q
2	EOG09260A6Q
851332	EOG09260A98
1	EOG09260A98
2	EOG09260A98
1	EOG09260A9Q
1	EOG09260AB8
2	EOG09260AB8
851441	EOG09260ABP
1	EOG09260ABP
2	EOG09260ABP
853133	EOG09260ABY
1	EOG09260ABY
851877	EOG09260AC3
2	EOG09260AC3
2	EOG09260AD4
854360	EOG09260AD4
9	EOG09260AEC
853048	EOG09260AEC
2	EOG09260AEC
9	EOG09260AF1
855104	EOG09260AGG
2	EOG09260AGG
2	EOG09260AHL
855392	EOG09260ANO
1	EOG09260ANO
854525	EOG09260AOA
854197	EOG09260AOA
1	EOG09260AOA
2540730	EOG09260AOA
2	EOG09260AOA
1	EOG09260AOD
2	EOG09260AOD
9	EOG09260APA
854531	EOG09260APA
2	EOG09260APA
9	EOG09260APL
2	EOG09260APL
854138	EOG09260AQB
9	EOG09260AQB
2	EOG09260AQB
2543082	EOG09260ARE
855718	EOG09260ARE
9	EOG09260ARE
850951	EOG09260ARE
2	EOG09260ARE
855875	EOG09260ARE
9	EOG09260AZA
1	EOG09260AZA
2	EOG09260AZA
854681	EOG09260AZA
856085	EOG09260AZK
2	EOG09260AZK
9	EOG09260AZM
1	EOG09260AZM
854763	EOG09260AZM
2	EOG09260AZM
853174	EOG09260B3H
1	EOG09260B3H
2	EOG09260B3H
852530	EOG09260B3X
2	EOG09260B3X
1	EOG09260B55
2	EOG09260B55
856560	EOG09260B5D
1	EOG09260B5D
855464	EOG09260B5D
2	EOG09260B5D
853630	EOG09260B65
1	EOG09260B65
2	EOG09260B65
855600	EOG09260B6J
1	EOG09260B6J
2	EOG09260B6J
9	EOG09260B71
1	EOG09260B71
2	EOG09260B71
853433	EOG09260B71
856559	EOG09260BAQ
1	EOG09260BAQ
2	EOG09260BAQ
2543281	EOG09260BAQ
853355	EOG09260BAQ
856141	EOG09260BBX
9	EOG09260BBX
2541162	EOG09260BBX
852243	EOG09260BBX
1	EOG09260BBX
2	EOG09260BBX
1	EOG09260BDA
2	EOG09260BDA
855639	EOG09260BFE
1	EOG09260BFE
2	EOG09260BFE
9	EOG09260BGU
2	EOG09260BGU
853191	EOG09260BL6
1	EOG09260BL6
2	EOG09260BL6
851456	EOG09260BM1
851741	EOG09260BM1
2	EOG09260BM1
852655	EOG09260BRA
9	EOG09260BRA
2540361	EOG09260BRA
2	EOG09260BRA
855558	EOG09260BSW
9	EOG09260BSW
2	EOG09260BSW
9	EOG09260BUL
850775	EOG09260BUL
1	EOG09260BUL
2	EOG09260BUL
1	EOG09260BYL
2	EOG09260BYL
854973	EOG09260BYL
856476	EOG09260BZ0
1	EOG09260BZ0
2	EOG09260BZ0
851255	EOG09260C2V
2	EOG09260C2V
2541098	EOG09260C3I
854815	EOG09260C3I
855618	EOG09260C3I
854276	EOG09260C3I
2	EOG09260C3I
2540197	EOG09260C4H
852986	EOG09260C4H
2	EOG09260C4H
853223	EOG09260C5W
1	EOG09260C5W
2	EOG09260C5W
2	EOG09260C6P
1	EOG09260C8L
1	EOG09260C9U
9	EOG09260CBD
852004	EOG09260CBD
2	EOG09260CBD
853596	EOG09260CBD
851358	EOG09260CKC
1	EOG09260CKC
2	EOG09260CKC
853118	EOG09260CLO
2540300	EOG09260CLO
1	EOG09260CLO
2	EOG09260CLO
852378	EOG09260CLO
852938	EOG09260CMZ
9	EOG09260CMZ
1	EOG09260CMZ
2	EOG09260CMZ
1	EOG09260CUC
2	EOG09260CUC
2	EOG09260CVD
1	EOG09260CVD
851274	EOG09260CWO
2	EOG09260CWO
854675	EOG09260CY1
9	EOG09260CY1
2540866	EOG09260CY1
2540241	EOG09260CY1
850429	EOG09260CY1
855656	EOG09260CY1
2	EOG09260CY1
9	EOG09260CY3
1	EOG09260CY3
2	EOG09260CY3
850464	EOG09260D02
855803	EOG09260D02
9	EOG09260D02
855802	EOG09260D02
1	EOG09260D02
854634	EOG09260D02
853233	EOG09260D02
2	EOG09260D02
852264	EOG09260D02
1	EOG09260D0E
852709	EOG09260D0L
2	EOG09260D0L
2539219	EOG09260D4L
2	EOG09260D4L
853100	EOG09260D4L
853439	EOG09260D4L
9	EOG09260D7N
1	EOG09260D7N
2	EOG09260D7N
9	EOG09260D7V
9	EOG09260D8L
2	EOG09260D8L
9	EOG09260D9K
2	EOG09260D9K
855227	EOG09260DBG
2	EOG09260DBG
9	EOG09260DCF
2	EOG09260DCF
854055	EOG09260DFH
2	EOG09260DFH
854781	EOG09260DFJ
9	EOG09260DFJ
2	EOG09260DFJ
851610	EOG09260DFY
851608	EOG09260DFY
851609	EOG09260DFY
1	EOG09260DFY
2	EOG09260DFY
9	EOG09260DI2
2	EOG09260DJL
853230	EOG09260DKC
1	EOG09260DKC
2541450	EOG09260DKC
851013	EOG09260DKC
2	EOG09260DKC
851671	EOG09260DP1
9	EOG09260DP1
1	EOG09260DP1
2	EOG09260DP1
9	EOG09260DQY
2	EOG09260DQY
9	EOG09260DUR
856212	EOG09260DUR
2	EOG09260DUR
855978	EOG09260DUW
2	EOG09260DUW
851885	EOG09260DXP
2	EOG09260DXP
1	EOG09260DZQ
2	EOG09260DZQ
9	EOG09260E03
2	EOG09260E03
2542953	EOG09260E1R
9	EOG09260E1R
852961	EOG09260E1R
851086	EOG09260E1R
2	EOG09260E1R
850422	EOG09260E2O
1	EOG09260E2O
2	EOG09260E2O
850687	EOG09260E2Q
1	EOG09260E2Q
2	EOG09260E2Q
9	EOG09260E46
2	EOG09260E46
9	EOG09260E8K
851311	EOG09260E8K
1	EOG09260E8K
2	EOG09260E8K
1	EOG09260EA9
2	EOG09260EA9
2	EOG09260EAZ
854020	EOG09260EAZ
1	EOG09260EBB
2	EOG09260EBB
850820	EOG09260EE7
9	EOG09260EE7
1	EOG09260EE7
2	EOG09260EE7
1	EOG09260EET
854766	EOG09260EGZ
1	EOG09260EGZ
1	EOG09260EOI
851261	EOG09260EOI
2	EOG09260EOI
9	EOG09260EPQ
854063	EOG09260EPQ
2	EOG09260EPQ
2542378	EOG09260EPS
853957	EOG09260EPS
1	EOG09260EPS
2	EOG09260EPS
851653	EOG09260EQD
2	EOG09260EQD
853670	EOG09260ERO
2	EOG09260ERO
855591	EOG09260ETR
2	EOG09260ETR
852746	EOG09260EU1
2	EOG09260EU1
9	EOG09260EUX
2	EOG09260EUX
9	EOG09260EVZ
854650	EOG09260EVZ
853061	EOG09260EZT
2	EOG09260EZT
9	EOG09260F1L
850719	EOG09260F1L
1	EOG09260F1L
852170	EOG09260F3E
1	EOG09260F3E
1	EOG09260F86
2	EOG09260F86
2541111	EOG09260FA7
851391	EOG09260FA7
9	EOG09260FA7
1	EOG09260FA7
2	EOG09260FA7
2	EOG09260FAO
850692	EOG09260FFP
9	EOG09260FFP
1	EOG09260FFP
2	EOG09260FFP
1	EOG09260FKU
850818	EOG09260FKU
2	EOG09260FKU
2540903	EOG09260FKX
1	EOG09260FKX
2	EOG09260FKX
1	EOG09260FL2
856062	EOG09260FL2
2	EOG09260FL2
851126	EOG09260FMW
9	EOG09260FMW
2	EOG09260FMW
9	EOG09260FPA
856828	EOG09260FPA
2	EOG09260FPA
853790	EOG09260FQ9
2	EOG09260FSM
1	EOG09260FT8
852537	EOG09260FTO
2	EOG09260FTO
9	EOG09260FWA
853492	EOG09260FWA
2	EOG09260FWA
852982	EOG09260FX0
1	EOG09260FX0
2	EOG09260FX0
1	EOG09260FY6
2	EOG09260FY6
850588	EOG09260FY6
855271	EOG09260FZZ
9	EOG09260FZZ
2	EOG09260FZZ
9	EOG09260G1R
856801	EOG09260G1R
1	EOG09260G1R
854744	EOG09260G1R
2	EOG09260G1R
9	EOG09260G3O
1	EOG09260G3O
9	EOG09260G5Z
2	EOG09260G5Z
2	EOG09260G6C
1	EOG09260G6C
853375	EOG09260G6U
2	EOG09260G6U
851286	EOG09260GB1
2	EOG09260GB1
851543	EOG09260GB1
851326	EOG09260GEB
854867	EOG09260GEB
2	EOG09260GEB
855834	EOG09260GF5
9	EOG09260GF5
1	EOG09260GF5
2	EOG09260GF5
856099	EOG09260GFL
1	EOG09260GFL
2	EOG09260GFL
2541130	EOG09260GFL
9	EOG09260GHR
2	EOG09260GHR
9	EOG09260GI7
1	EOG09260GI7
2	EOG09260GI7
855310	EOG09260GI7
9	EOG09260GIX
855860	EOG09260GIX
1	EOG09260GIX
2	EOG09260GIX
9	EOG09260GKG
851824	EOG09260GKG
2	EOG09260GKG
1	EOG09260GND
2	EOG09260GND
853552	EOG09260GOF
2	EOG09260GOF
9	EOG09260GQI
2539505	EOG09260GR8
9	EOG09260GR8
850734	EOG09260GR8
2	EOG09260GR8
1	EOG09260GSV
850639	EOG09260GSV
2	EOG09260GSV
9	EOG09260GWZ
2	EOG09260GWZ
9	EOG09260H3G
855356	EOG09260H3G
2	EOG09260H3G
854713	EOG09260H68
852351	EOG09260H68
2539030	EOG09260H68
855711	EOG09260H68
1	EOG09260H68
2	EOG09260H68
2541109	EOG09260H68
855126	EOG09260H6E
2	EOG09260H6E
855448	EOG09260H81
2	EOG09260H81
9	EOG09260H8F
852077	EOG09260H8F
1	EOG09260H8F
852101	EOG09260H8F
854053	EOG09260H8F
2	EOG09260H8F
850601	EOG09260HB3
9	EOG09260HB3
1	EOG09260HB3
852622	EOG09260HB3
853347	EOG09260HB3
2	EOG09260HB3
853899	EOG09260HB3
852597	EOG09260HCY
850781	EOG09260HCY
1	EOG09260HCY
2	EOG09260HCY
2540681	EOG09260HCY
854076	EOG09260HIO
9	EOG09260HIO
2	EOG09260HIO
1	EOG09260HJV
2	EOG09260HJV
851061	EOG09260HMA
9	EOG09260HMA
2	EOG09260HMA
1	EOG09260HPO
2	EOG09260HPO
9	EOG09260HS3
850840	EOG09260HS3
2	EOG09260HS3
1	EOG09260HSB
854663	EOG09260HSP
1	EOG09260HSP
2	EOG09260HSP
853438	EOG09260HU0
853333	EOG09260HU0
2540572	EOG09260HU0
2	EOG09260HU0
856520	EOG09260HU5
2	EOG09260HU5
9	EOG09260HXE
2	EOG09260HY2
853351	EOG09260I06
9	EOG09260I06
2	EOG09260I06
852382	EOG09260I3R
1	EOG09260I3R
2	EOG09260I3R
9	EOG09260I46
2	EOG09260I46
1	EOG09260I62
2	EOG09260I62
852214	EOG09260I62
1	EOG09260I6V
2541564	EOG09260I6V
2	EOG09260I6V
9	EOG09260I7M
2	EOG09260I7M
856846	EOG09260I7M
1	EOG09260I9Q
2	EOG09260I9Q
9	EOG09260I9Y
2	EOG09260I9Y
854024	EOG09260IAH
1	EOG09260IAH
2	EOG09260IAH
2	EOG09260IBT
1	EOG09260IET
2	EOG09260IET
856071	EOG09260IIM
2539012	EOG09260IIM
852876	EOG09260IIM
2	EOG09260IIM
1	EOG09260INU
854333	EOG09260IOI
9	EOG09260ISY
2	EOG09260ISY
9	EOG09260IT6
2	EOG09260IT6
855885	EOG09260ITZ
2	EOG09260ITZ
852610	EOG09260IU8
1	EOG09260IU8
2	EOG09260IU8
1	EOG09260IUC
2	EOG09260IUC
851483	EOG09260J4V
9	EOG09260J4V
2	EOG09260J4V
9	EOG09260J53
1	EOG09260J53
853608	EOG09260J53
2	EOG09260J53
9	EOG09260J8D
2	EOG09260J8D
855483	EOG09260J8F
2	EOG09260J8F
9	EOG09260J97
851521	EOG09260J97
2	EOG09260J97
2	EOG09260JAI
2540898	EOG09260JBL
851845	EOG09260JBL
850633	EOG09260JBL
2	EOG09260JBL
2	EOG09260JCB
1	EOG09260JCB
9	EOG09260JDM
1	EOG09260JDM
854182	EOG09260JDM
2	EOG09260JDM
856422	EOG09260JED
1	EOG09260JED
2	EOG09260JED
9	EOG09260JG2
2539077	EOG09260JHM
1	EOG09260JHM
2	EOG09260JHM
850552	EOG09260JHM
9	EOG09260JI1
1	EOG09260JI1
2	EOG09260JI1
853724	EOG09260JJW
1	EOG09260JJW
2	EOG09260JJW
1	EOG09260JK3
9	EOG09260JKR
1	EOG09260JKR
2	EOG09260JKR
851887	EOG09260JKR
2	EOG09260JLU
9	EOG09260JNY
855331	EOG09260JNY
2	EOG09260JNY
851100	EOG09260JO5
1	EOG09260JO5
2	EOG09260JO5
1	EOG09260JPV
2	EOG09260JPV
853789	EOG09260JPV
2540883	EOG09260JSF
855454	EOG09260JSF
1	EOG09260JSF
2	EOG09260JSF
851014	EOG09260JSF
2	EOG09260JSG
852673	EOG09260JT9
2	EOG09260JT9
855429	EOG09260JTZ
2	EOG09260JTZ
9	EOG09260JU8
1	EOG09260JU8
2	EOG09260JU8
9	EOG09260JVN
855013	EOG09260JVN
1	EOG09260JVN
2	EOG09260JVN
9	EOG09260JY5
2	EOG09260JY5
1	EOG09260K0L
2	EOG09260K0L
2	EOG09260K1D
854543	EOG09260K24
9	EOG09260K24
2	EOG09260K24
851975	EOG09260K27
1	EOG09260K27
2	EOG09260K27
851075	EOG09260K29
2	EOG09260K29
9	EOG09260K4B
2540535	EOG09260K4B
1	EOG09260K4B
2	EOG09260K4B
852992	EOG09260K4B
852665	EOG09260K4V
1	EOG09260K4V
2	EOG09260K4V
2	EOG09260K4Y
854742	EOG09260K5F
9	EOG09260K5F
2	EOG09260K5F
2	EOG09260K60
851462	EOG09260K77
853113	EOG09260K77
2543657	EOG09260K77
851464	EOG09260K77
1	EOG09260K77
851210	EOG09260K77
