ortho_cluster	name_cluster
EOG0926004Z	Midasin
EOG09260060	E3 ubiquitin-protein ligase
EOG09260075	Vacuolar protein sorting-associated protein 13
EOG0926008B	Transmembrane:Helical
EOG0926009O	Similarity:Contains FATC domain.
EOG092600FU	Transmembrane:Helical
EOG092600HC	Similarity:Contains FATC domain.
EOG092600LS	Transmembrane:Helical
EOG092600NM	Pre-mRNA-processing-splicing factor 8, U5-snRNA-binding
EOG092600PJ	Ras GTPase-activating protein
EOG092600PZ	Ribosomal protein L19/L19e
EOG092600S9	Armadillo-type fold
EOG092600SD	Similarity:Contains FATC domain.
EOG092600SK	CCR4-NOT transcription complex subunit 1, HEAT repeat
EOG092600T4	Similarity:Contains ATP-grasp domain.
EOG092600T9	Glutamate synthase domain
EOG092600W1	DNA-directed DNA polymerase, family B
EOG092600X0	Similarity:Contains PIPK domain.
EOG092600XJ	Transmembrane:Helical
EOG0926010C	Active Site:For beta-ketoacyl synthase activity
EOG09260111	Proteasome activator Blm10, N-terminal
EOG0926015E	Ras guanine nucleotide exchange factor domain
EOG0926016V	AMP-dependent synthetase/ligase
EOG092601AY	Pleckstrin homology domain
EOG092601D9	Protein kinase domain
EOG092601DN	Transmembrane:Helical
EOG092601IU	WD40 repeat
EOG092601JN	Dedicator of cytokinesis
EOG092601KZ	Aminoacyl-tRNA synthetase, class Ia
EOG092601RP	Zinc finger, UBR-type
EOG092601SL	Myb domain
EOG092601TO	DEAD/DEAH box helicase domain
EOG092601UY	Glycogen debranching enzyme
EOG092601WW	Similarity:Contains ARID domain.
EOG092601X1	DNA-directed RNA polymerase
EOG092601XC	P-type ATPase
EOG092601YK	Cell morphogenesis central region
EOG09260228	Similarity:Contains ARID domain.
EOG0926024P	Transmembrane:Helical
EOG0926025H	Nucleolar pre-ribosomal-associated protein 1, N-terminal
EOG0926025I	P-type ATPase
EOG09260274	Zinc finger, RING/FYVE/PHD-type
EOG09260289	Bromodomain
EOG09260298	Similarity:Contains myosin motor domain.
EOG0926029E	Zinc finger, UBR-type
EOG092602B9	Similarity:Belongs to the ABC transporter superfamily.
EOG092602BZ	Clathrin, heavy chain
EOG092602FH	DNA-directed DNA polymerase, family B
EOG092602I6	SNF2-related, N-terminal domain
EOG092602IX	3-phosphoshikimate 1-carboxyvinyltransferase
EOG092602L3	Leucine-rich repeat
EOG092602MO	Autophagy-related protein 2
EOG092602OP	WD40 repeat
EOG092602UY	Similarity:Contains SEC7 domain.
EOG092602YZ	Proteasome stabiliser ECM29
EOG092602ZJ	Similarity:Contains protein kinase domain.
EOG0926030Z	ATP-grasp fold
EOG09260375	DNA-directed DNA polymerase, family B
EOG0926037J	Leucine-rich repeat
EOG092603AX	Mms1p
EOG092603C3	Paired amphipathic helix
EOG092603CX	E3 ubiquitin-protein ligase substrate receptor Mms22
EOG092603D0	AMP-binding, conserved site
EOG092603EH	Cyclic nucleotide-binding domain
EOG092603HT	Similarity:Contains FH2 (formin homology 2) domain.
EOG092603J6	Nucleolar 27S pre-rRNA processing, Urb2/Npa2, C-terminal
EOG092603JK	SEPARIN core domain
EOG092603KJ	DNA-directed DNA polymerase, family A, palm domain
EOG092603YJ	S1 domain
EOG092603ZF	Similarity:Belongs to the ABC transporter superfamily.
EOG0926041W	Similarity:Contains N-terminal Ras-GEF domain.
EOG0926042C	Histone acetyltransferase
EOG0926044S	Nucleoporin Nup188
EOG0926045N	Nucleoprotein TPR/MLP1
EOG0926046Z	Tetratricopeptide-like helical domain
EOG0926047G	Nitrite/sulphite reductase 4Fe-4S domain
EOG0926048J	Similarity:Contains myosin motor domain.
EOG09260492	Transcription elongation factor Spt6
EOG0926049A	UDP-glucose:Glycoprotein Glucosyltransferase
EOG0926049S	Anaphase-promoting complex subunit 1
EOG092604A0	Sister chromatid cohesion C-terminal domain
EOG092604CD	Similarity:Contains N-terminal Ras-GEF domain.
EOG092604EE	SAC3/GANP/THP3
EOG092604I8	Vacuolar membrane-associated protein Iml1
EOG092604K3	Aminoacyl-tRNA synthetase, class II
EOG092604KQ	Cleavage/polyadenylation specificity factor, A subunit, C-terminal
EOG092604KW	Pleckstrin homology domain
EOG092604MJ	Mon2, C-terminal
EOG092604ML	Nucleoporin Nup186/Nup192/Nup205
EOG092604NE	Similarity:Contains 3 C2 domains.
EOG092604OQ	Similarity:Contains FAD-binding FR-type domain.
EOG092604S1	Similarity:Contains USP domain.
EOG092604ZZ	Transmembrane:Helical
EOG0926051A	Six-hairpin glycosidase-like
EOG0926051U	U3 small nucleolar RNA-associated protein 10
EOG0926053P	EF-hand domain
EOG09260556	Similarity:Belongs to the ABC transporter superfamily.
EOG09260557	Similarity:Contains helicase ATP-binding domain.
EOG0926055F	P-type ATPase
EOG0926055X	Alpha/beta knot methyltransferases
EOG0926057S	Leucine-rich repeat domain, L domain-like
EOG092605BD	WD40-repeat-containing domain
EOG092605FC	Protein kinase domain
EOG092605JJ	Exocyst complex component Sec3, PIP2-binding N-terminal domain
EOG092605KN	Transmembrane:Helical
EOG092605OH	DNA-directed RNA polymerase
EOG092605OK	DNA-directed RNA polymerase
EOG092605QM	Dopey, N-terminal
EOG092605R1	SNF2-related, N-terminal domain
EOG092605T6	Similarity:Contains FATC domain.
EOG092605VL	THO complex, subunitTHOC2, N-terminal
EOG092605VU	Transmembrane:Helical
EOG092605YP	ATP-dependent RNA helicase Ski2
EOG092605ZA	Mediator complex, subunit Med12
EOG0926061I	Transmembrane:Helical
EOG0926064W	Similarity:Contains SEC7 domain.
EOG0926065U	Hydantoinase B/oxoprolinase
EOG0926066J	5'-3' exoribonuclease
EOG092606AD	RNA polymerase II-associated protein 1, N-terminal
EOG092606AJ	Ubiquitin carboxyl-terminal hydrolase
EOG092606CY	Structural maintenance of chromosomes protein
EOG092606JF	PAN2 domain
EOG092606O3	ATPase, AAA-type, core
EOG092606QR	WD40 repeat
EOG092606TN	Similarity:Contains 3 C2 domains.
