ortho_cluster;name_cluster
EOG0926004Z;Midasin
EOG0926005U;AMP-binding, conserved site
EOG09260060;E3 ubiquitin-protein ligase
EOG0926009O;Similarity:Contains FATC domain.
EOG092600HC;Similarity:Contains FATC domain.
EOG092600IC;Vacuolar protein sorting-associated protein 13
EOG092600NM;Pre-mRNA-processing-splicing factor 8, U5-snRNA-binding
EOG092600PZ;Ribosomal protein L19/L19e
EOG092600S9;Armadillo-type fold
EOG092600SD;Similarity:Contains FATC domain.
EOG092600SK;CCR4-NOT transcription complex subunit 1, HEAT repeat
EOG092600T4;Similarity:Contains ATP-grasp domain.
EOG092600T9;Glutamate synthase domain
EOG092600W1;DNA-directed DNA polymerase, family B
EOG092600X0;Similarity:Contains PIPK domain.
EOG092600XJ;Transmembrane:Helical
EOG0926010C;Active Site:For beta-ketoacyl synthase activity
EOG0926010H;Transmembrane:Helical
EOG0926010X;Transmembrane:Helical
EOG0926016V;AMP-dependent synthetase/ligase
EOG092601AX;Similarity:Contains 1 histidine kinase domain.
EOG092601DN;Transmembrane:Helical
EOG092601E2;Acyl transferase
EOG092601IU;WD40 repeat
EOG092601KZ;Aminoacyl-tRNA synthetase, class Ia
EOG092601SL;Myb domain
EOG092601TO;DEAD/DEAH box helicase domain
EOG092601X1;DNA-directed RNA polymerase
EOG092601XC;P-type ATPase
EOG092601YK;Cell morphogenesis central region
EOG0926024P;Transmembrane:Helical
EOG0926025H;Nucleolar pre-ribosomal-associated protein 1, N-terminal
EOG0926025I;P-type ATPase
EOG09260274;Zinc finger, RING/FYVE/PHD-type
EOG09260289;Bromodomain
EOG09260298;Similarity:Contains myosin motor domain.
EOG0926029E;Zinc finger, UBR-type
EOG092602B9;Similarity:Belongs to the ABC transporter superfamily.
EOG092602BZ;Clathrin, heavy chain
EOG092602FH;DNA-directed DNA polymerase, family B
EOG092602I6;SNF2-related, N-terminal domain
EOG092602IX;3-phosphoshikimate 1-carboxyvinyltransferase
EOG092602L3;Leucine-rich repeat
EOG092602MO;Autophagy-related protein 2
EOG092602OP;WD40 repeat
EOG092602OW;DEAD/DEAH box helicase domain
EOG092602UY;Similarity:Contains SEC7 domain.
EOG092602YZ;Proteasome stabiliser ECM29
EOG092602ZJ;Similarity:Contains protein kinase domain.
EOG0926030Z;ATP-grasp fold
EOG0926035H;Telomere-associated protein  Rif1
EOG09260375;DNA-directed DNA polymerase, family B
EOG092603AM;Ribonuclease III domain
EOG092603C3;Paired amphipathic helix
EOG092603D0;AMP-binding, conserved site
EOG092603EH;Cyclic nucleotide-binding domain
EOG092603HT;Similarity:Contains FH2 (formin homology 2) domain.
EOG092603JK;SEPARIN core domain
EOG092603KJ;DNA-directed DNA polymerase, family A, palm domain
EOG092603RS;Transmembrane:Helical
EOG092603SM;Similarity:Contains 1 BTB (POZ) domain.
EOG092603YJ;S1 domain
EOG092603ZF;Similarity:Belongs to the ABC transporter superfamily.
EOG0926042C;Histone acetyltransferase
EOG09260447;E3 ubiquitin-protein ligase substrate receptor Mms22
EOG0926044S;Nucleoporin Nup188
EOG0926045N;Nucleoprotein TPR/MLP1
EOG0926046Z;Tetratricopeptide-like helical domain
EOG0926047G;Nitrite/sulphite reductase 4Fe-4S domain
EOG0926048J;Similarity:Contains myosin motor domain.
EOG09260492;Transcription elongation factor Spt6
EOG0926049A;UDP-glucose:Glycoprotein Glucosyltransferase
EOG0926049S;Anaphase-promoting complex subunit 1
EOG092604A0;Sister chromatid cohesion C-terminal domain
EOG092604EE;SAC3/GANP/THP3
EOG092604I8;Vacuolar membrane-associated protein Iml1
EOG092604K3;Aminoacyl-tRNA synthetase, class II
EOG092604KQ;Cleavage/polyadenylation specificity factor, A subunit, C-terminal
EOG092604KW;Pleckstrin homology domain
EOG092604MJ;Mon2, C-terminal
EOG092604ML;Nucleoporin Nup186/Nup192/Nup205
EOG092604S1;Similarity:Contains USP domain.
EOG092604SR;PAP/25A-associated
EOG092604TJ;WD40 repeat, conserved site
EOG092604ZZ;Transmembrane:Helical
EOG0926051U;U3 small nucleolar RNA-associated protein 10
EOG0926053P;EF-hand domain
EOG09260556;Similarity:Belongs to the ABC transporter superfamily.
EOG09260557;Similarity:Contains helicase ATP-binding domain.
EOG0926055F;P-type ATPase
EOG092605FC;Protein kinase domain
EOG092605KN;Transmembrane:Helical
EOG092605OH;DNA-directed RNA polymerase
EOG092605OK;DNA-directed RNA polymerase
