id_pfam;name_pfam
PF01926|PF16897|PF02824;MMR_HSR1|MMR_HSR1_Xtn|TGS
PF02466;Tim17
PF00244;14-3-3
PF07654|PF00129|PF06623;C1-set|MHC_I|MHC_I_C
PF00155;Aminotran_1_2
PF00291;PALP
PF01603;B56
PF02985;HEAT
PF00400;WD40
PF07654|PF00969;C1-set|MHC_II_beta
PF01073;3Beta_HSD
PF03114|PF00620;BAR|RhoGAP
PF00169|PF00017;PH|SH2
PF05276;SH3BP5
PF06052;3-HAO
PF14833|PF03446;NAD_binding_11|NAD_binding_2
PF02245;Pur_DNA_glyco
PF05902|PF09380|PF00373|PF09379;4_1_CTD|FERM_C|FERM_M|FERM_N
PF05902|PF08736|PF09380|PF00373|PF09379|PF04382;4_1_CTD|FA|FERM_C|FERM_M|FERM_N|SAB
PF00501|PF13193;AMP-binding|AMP-binding_C
PF05456;eIF_4EBP
PF10477;EIF4E-T
PF00128|PF16028;Alpha-amylase|SLC3A2_N
PF00001;7tm_1
PF02931|PF02932;Neur_chan_LBD|Neur_chan_memb
PF06189;5-nucleotidase
PF05822;UMPH-1
PF05761;5_nucleotid
PF02872|PF00149;5_nucleotid_C|Metallophos
PF00019|PF00688;TGF_beta|TGFb_propeptide
PF08039;Mit_proteolip
PF00393|PF03446;6PGD|NAD_binding_2
PF01182;Glucosamine_iso
PF05281;Secretogranin_V
PF00041|PF07714;fn3|Pkinase_Tyr
PF00104|PF00105;Hormone_recep|zf-C4
PF00293;NUDIX
PF14949;ARF7EP_C
PF00171;Aldedh
PF08614|PF00400;ATG16|WD40
PF00248;Aldo_ket_red
PF00061;Lipocalin
PF00079;Serpin
PF13895;Ig_2
PF00076;RRM_1
PF12796;Ank_2
PF00059;Lectin_C
PF13855;LRR_8
PF00207|PF07678|PF01835|PF07703|PF07677|PF10569;A2M|A2M_comp|A2M_N|A2M_N_2|A2M_recep|Thiol-ester_cl
PF01593;Amino_oxidase
PF03414;Glyco_transf_6
PF04572|PF04488;Gb3_synth|Gly_transf_sug
